move,rvol,distance,dev_events,oos_events,dev_alpha_20d,oos_alpha_20d,dev_mean_20d,oos_mean_20d
0.015,1.5,0.01,32,24,-0.002165797807178566,-0.03160381113986674,0.012969960368523697,0.0018811597266304297
0.015,1.5,0.03,36,31,-0.0008065308964862322,-0.018618776001333298,0.01432922727921603,0.014866194865163872
0.015,1.5,0.05,39,32,-0.0032438005248408407,-0.01819428661317339,0.011891957650861422,0.015290684253323777
0.015,1.5,0.075,43,34,-0.007833001546629666,-0.019116424614855576,0.007302756629072597,0.01436854625164159
0.015,1.5,0.1,45,34,-0.007589223616380491,-0.019116424614855576,0.007546534559321772,0.01436854625164159
0.015,2.0,0.01,20,15,0.0047885201482351595,-0.029918455461290717,0.019924278323937422,0.0035665154052064497
0.015,2.0,0.03,23,17,0.003926307103031957,-0.02466247561130923,0.01906206527873422,0.008822495255187942
0.015,2.0,0.05,24,17,0.001293849432731661,-0.02466247561130923,0.016429607608433924,0.008822495255187942
0.015,2.0,0.075,24,17,0.001293849432731661,-0.02466247561130923,0.016429607608433924,0.008822495255187942
0.015,2.0,0.1,24,17,0.001293849432731661,-0.02466247561130923,0.016429607608433924,0.008822495255187942
0.015,2.5,0.01,13,5,-0.009482087643598557,-0.0015581160280399367,0.005653670532103707,0.03192685483845723
0.015,2.5,0.03,15,6,-0.0031944854646151107,0.0038612308368914244,0.011941272711087152,0.03734620170338859
0.015,2.5,0.05,15,6,-0.0031944854646151107,0.0038612308368914244,0.011941272711087152,0.03734620170338859
0.015,2.5,0.075,15,6,-0.0031944854646151107,0.0038612308368914244,0.011941272711087152,0.03734620170338859
0.015,2.5,0.1,15,6,-0.0031944854646151107,0.0038612308368914244,0.011941272711087152,0.03734620170338859
0.015,3.0,0.01,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.015,3.0,0.03,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
0.015,3.0,0.05,8,2,-0.02611280250741773,-0.0131094323561214,-0.010977044331715466,0.020375538510375768
