move,rvol,distance,dev_events,oos_events,dev_alpha_20d,oos_alpha_20d,dev_mean_20d,oos_mean_20d
0.015,1.5,0.01,27,18,-0.022635890354623555,-0.036766281047899085,-0.004187509669996547,-0.018569649182770813
0.015,1.5,0.03,31,20,-0.018579209872150965,-0.0275709306652919,-0.0001308291875239577,-0.009374298800163631
0.015,1.5,0.05,33,22,-0.017828902100428593,-0.03144108172533986,0.0006194785841984151,-0.01324444986021159
0.015,1.5,0.075,36,23,-0.01603725142693222,-0.02777083888898413,0.002411129257694788,-0.009574207023855858
0.015,1.5,0.1,38,23,-0.015895020582316385,-0.02777083888898413,0.0025533601023106237,-0.009574207023855858
0.015,2.0,0.01,12,8,-0.007839307303407381,-0.03350261908798419,0.010609073381219627,-0.015305987222855921
0.015,2.0,0.03,12,8,-0.007839307303407381,-0.03350261908798419,0.010609073381219627,-0.015305987222855921
0.015,2.0,0.05,13,8,-0.005442116098033113,-0.03350261908798419,0.013006264586593895,-0.015305987222855921
0.015,2.0,0.075,13,8,-0.005442116098033113,-0.03350261908798419,0.013006264586593895,-0.015305987222855921
0.015,2.0,0.1,13,8,-0.005442116098033113,-0.03350261908798419,0.013006264586593895,-0.015305987222855921
0.015,2.5,0.01,5,6,-0.005696219989953543,-0.011029091947159345,0.012752160694673465,0.007167539917968924
0.015,2.5,0.03,5,6,-0.005696219989953543,-0.011029091947159345,0.012752160694673465,0.007167539917968924
0.015,2.5,0.05,5,6,-0.005696219989953543,-0.011029091947159345,0.012752160694673465,0.007167539917968924
0.015,2.5,0.075,5,6,-0.005696219989953543,-0.011029091947159345,0.012752160694673465,0.007167539917968924
0.015,2.5,0.1,5,6,-0.005696219989953543,-0.011029091947159345,0.012752160694673465,0.007167539917968924
0.015,3.0,0.01,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.015,3.0,0.03,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.015,3.0,0.05,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.015,3.0,0.075,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.015,3.0,0.1,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.02,1.5,0.01,22,16,-0.0223872549634929,-0.03120079243292189,-0.0039388742788658915,-0.013004160567793624
0.02,1.5,0.03,24,18,-0.02137877106683417,-0.02152146048129738,-0.0029303903822071645,-0.0033248286161691103
0.02,1.5,0.05,26,19,-0.020211106495441684,-0.03221633423920238,-0.0017627258108146753,-0.014019702374074107
0.02,1.5,0.075,29,19,-0.017740553480582764,-0.03221633423920238,0.0007078272040442451,-0.014019702374074107
0.02,1.5,0.1,31,19,-0.017456315538560092,-0.03221633423920238,0.0009920651460669173,-0.014019702374074107
0.02,2.0,0.01,11,7,-0.00790965242383093,-0.03573681437861348,0.010538728260796078,-0.017540182513485214
0.02,2.0,0.03,11,7,-0.00790965242383093,-0.03573681437861348,0.010538728260796078,-0.017540182513485214
0.02,2.0,0.05,12,7,-0.005306833191306842,-0.03573681437861348,0.013141547493320166,-0.017540182513485214
0.02,2.0,0.075,12,7,-0.005306833191306842,-0.03573681437861348,0.013141547493320166,-0.017540182513485214
0.02,2.0,0.1,12,7,-0.005306833191306842,-0.03573681437861348,0.013141547493320166,-0.017540182513485214
0.02,2.5,0.01,5,5,-0.005696219989953543,-0.008762003097897073,0.012752160694673465,0.009434628767231196
0.02,2.5,0.03,5,5,-0.005696219989953543,-0.008762003097897073,0.012752160694673465,0.009434628767231196
0.02,2.5,0.05,5,5,-0.005696219989953543,-0.008762003097897073,0.012752160694673465,0.009434628767231196
0.02,2.5,0.075,5,5,-0.005696219989953543,-0.008762003097897073,0.012752160694673465,0.009434628767231196
0.02,2.5,0.1,5,5,-0.005696219989953543,-0.008762003097897073,0.012752160694673465,0.009434628767231196
0.02,3.0,0.01,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.02,3.0,0.03,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.02,3.0,0.05,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.02,3.0,0.075,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.02,3.0,0.1,4,2,-0.008939041903120865,-0.06743026987987705,0.009509338781506144,-0.04923363801474878
0.025,1.5,0.01,15,13,-0.01467540984502387,-0.021886853662647778,0.0037729708396031366,-0.0036902217975195105
0.025,1.5,0.03,17,14,-0.01415894376956085,-0.007764871643733637,0.00428943691506616,0.010431760221394632
0.025,1.5,0.05,19,15,-0.01332106880842095,-0.02317108572407061,0.005127311876206058,-0.004974453858942342
0.025,1.5,0.075,21,15,-0.013991897035655947,-0.02317108572407061,0.0044564836489710625,-0.004974453858942342
0.025,1.5,0.1,23,15,-0.013934763848140762,-0.02317108572407061,0.0045136168364862455,-0.004974453858942342
0.025,2.0,0.01,9,7,-0.0030818630900006604,-0.03573681437861348,0.015366517594626348,-0.017540182513485214
0.025,2.0,0.03,9,7,-0.0030818630900006604,-0.03573681437861348,0.015366517594626348,-0.017540182513485214
