max_days,dev_trades,oos_trades,dev_return,oos_return,dev_cagr,oos_cagr,dev_sharpe,oos_sharpe,dev_max_dd,oos_max_dd,dev_win_rate,oos_win_rate,dev_sl,dev_time,oos_sl,oos_time
5,14,6,0.333786129163653,0.1315998206602922,0.03669571071114963,0.0349466780615213,0.8692215831884141,0.8224778427414382,-0.053674881567082444,-0.03716043215630205,0.7857142857142857,0.8333333333333334,3,11,1,5
10,12,6,0.5027265685910391,0.1413352896588096,0.052281540500316526,0.037412891479547516,0.9881361723251147,0.7702747637216443,-0.05367488156708233,-0.042368545499424926,0.75,0.8333333333333334,3,9,1,5
15,12,6,0.8447292542276106,0.19542463623236905,0.07962911986911747,0.05084507545847283,1.238846088768826,0.8364648934344545,-0.05792078702152148,-0.04956209178925064,0.75,0.8333333333333334,3,9,1,5
20,12,7,0.9087680598548227,0.3615491757577358,0.08424891216464103,0.089531248959132,1.2188675908198148,1.2594967191313202,-0.06224574176040243,-0.04956209178925053,0.75,0.8571428571428571,3,9,1,6
30,12,5,0.8114369042820915,0.5046819352457266,0.07717168817948461,0.120214178541598,0.8740408741208153,1.4065580122695103,-0.16530029726096873,-0.05417468329007946,0.75,0.8,3,9,1,4
40,11,4,0.5005718897519302,0.5141317065692079,0.052092633450990355,0.12216442050922183,0.578414595815463,1.402797703004161,-0.21395872728135212,-0.05417468329007946,0.5454545454545454,0.75,5,6,1,3
60,12,4,0.5641231403114784,0.6948522347260813,0.05756722392104607,0.1578752430090642,0.565877138112011,1.5127557150493736,-0.213958727281352,-0.07380121493279301,0.5833333333333334,0.75,5,7,1,3
90,10,5,0.3506315907499351,0.5736006573304238,0.0383250140351703,0.13424006714375136,0.3899354740507221,1.1087350293378209,-0.22555311714629478,-0.11749429663625643,0.3,0.6,7,3,2,3
