move,rvol,distance,dev_events,oos_events,dev_mean_5d,oos_mean_5d,dev_alpha_5d,oos_alpha_5d,dev_win_5d,oos_win_5d,dev_mean_20d,oos_mean_20d,dev_alpha_20d,oos_alpha_20d,dev_win_20d,oos_win_20d
0.015,1.5,0.01,33,15,0.0031007765113020783,0.01303464110035817,-0.0015027816105043414,0.00746379083830947,0.6666666666666666,0.6666666666666666,0.022721907072994166,0.03384328188132891,0.0035357474971424233,0.012226116090024289,0.696969696969697,0.8666666666666667
0.015,1.5,0.03,37,18,0.00506650968658362,0.014298966828494507,0.00046295156477720034,0.008728116566445808,0.6756756756756757,0.6666666666666666,0.023338996956404897,0.03859501645065152,0.0041528373805531545,0.0169778506593469,0.7027027027027027,0.8888888888888888
0.015,1.5,0.05,39,19,0.005638523932616842,0.014919653906192723,0.001034965810810422,0.009348803644144024,0.6666666666666666,0.6842105263157895,0.021502358372954052,0.03492078625120744,0.0023161987971023097,0.01330362045990282,0.6923076923076923,0.8421052631578947
0.015,1.5,0.075,43,19,0.008390161987343103,0.014919653906192723,0.0037866038655366835,0.009348803644144024,0.6976744186046512,0.6842105263157895,0.024234794300901683,0.03492078625120744,0.00504863472504994,0.01330362045990282,0.6976744186046512,0.8421052631578947
0.015,1.5,0.1,47,19,0.005128721238666726,0.014919653906192723,0.0005251631168603065,0.009348803644144024,0.6595744680851063,0.6842105263157895,0.019561816848431265,0.03492078625120744,0.0003756572725795229,0.01330362045990282,0.6808510638297872,0.8421052631578947
0.015,2.0,0.01,18,8,0.009718149514021846,0.0067872063122260545,0.005114591392215427,0.0012163560501773554,0.7777777777777778,0.625,0.04589201443808327,0.034510138884559116,0.02670585486223153,0.012892973093254496,0.7777777777777778,0.875
0.015,2.0,0.03,20,9,0.014472405327959537,0.013738965073761218,0.009868847206153117,0.008168114811712519,0.8,0.6666666666666666,0.04870944629356641,0.041396923853992774,0.029523286717714668,0.019779758062688155,0.8,0.8888888888888888
0.015,2.0,0.05,20,9,0.014472405327959537,0.013738965073761218,0.009868847206153117,0.008168114811712519,0.8,0.6666666666666666,0.04870944629356641,0.041396923853992774,0.029523286717714668,0.019779758062688155,0.8,0.8888888888888888
0.015,2.0,0.075,20,9,0.014472405327959537,0.013738965073761218,0.009868847206153117,0.008168114811712519,0.8,0.6666666666666666,0.04870944629356641,0.041396923853992774,0.029523286717714668,0.019779758062688155,0.8,0.8888888888888888
0.015,2.0,0.1,21,9,0.00962302576459734,0.013738965073761218,0.005019467642790921,0.008168114811712519,0.7619047619047619,0.6666666666666666,0.03885200349387659,0.041396923853992774,0.019665843918024846,0.019779758062688155,0.7619047619047619,0.8888888888888888
0.015,2.5,0.01,11,5,0.0002459570894135308,0.008877700279265533,-0.004357601032392889,0.003306850017216834,0.6363636363636364,0.6,0.035506728086576726,0.03708216745173214,0.016320568510724984,0.015465001660427517,0.7272727272727273,0.8
0.015,2.5,0.03,11,5,0.0002459570894135308,0.008877700279265533,-0.004357601032392889,0.003306850017216834,0.6363636363636364,0.6,0.035506728086576726,0.03708216745173214,0.016320568510724984,0.015465001660427517,0.7272727272727273,0.8
0.015,2.5,0.05,11,5,0.0002459570894135308,0.008877700279265533,-0.004357601032392889,0.003306850017216834,0.6363636363636364,0.6,0.035506728086576726,0.03708216745173214,0.016320568510724984,0.015465001660427517,0.7272727272727273,0.8
0.015,2.5,0.075,11,5,0.0002459570894135308,0.008877700279265533,-0.004357601032392889,0.003306850017216834,0.6363636363636364,0.6,0.035506728086576726,0.03708216745173214,0.016320568510724984,0.015465001660427517,0.7272727272727273,0.8
0.015,2.5,0.1,11,5,0.0002459570894135308,0.008877700279265533,-0.004357601032392889,0.003306850017216834,0.6363636363636364,0.6,0.035506728086576726,0.03708216745173214,0.016320568510724984,0.015465001660427517,0.7272727272727273,0.8
0.015,3.0,0.01,5,4,0.00633975947337706,0.006860771860647541,0.0017362013515706404,0.0012899215985988418,0.8,0.5,0.04797189061535032,0.02950325376932772,0.02878573103949858,0.0078860879780231,0.8,0.75
0.015,3.0,0.03,5,4,0.00633975947337706,0.006860771860647541,0.0017362013515706404,0.0012899215985988418,0.8,0.5,0.04797189061535032,0.02950325376932772,0.02878573103949858,0.0078860879780231,0.8,0.75
0.015,3.0,0.05,5,4,0.00633975947337706,0.006860771860647541,0.0017362013515706404,0.0012899215985988418,0.8,0.5,0.04797189061535032,0.02950325376932772,0.02878573103949858,0.0078860879780231,0.8,0.75
0.015,3.0,0.075,5,4,0.00633975947337706,0.006860771860647541,0.0017362013515706404,0.0012899215985988418,0.8,0.5,0.04797189061535032,0.02950325376932772,0.02878573103949858,0.0078860879780231,0.8,0.75
0.015,3.0,0.1,5,4,0.00633975947337706,0.006860771860647541,0.0017362013515706404,0.0012899215985988418,0.8,0.5,0.04797189061535032,0.02950325376932772,0.02878573103949858,0.0078860879780231,0.8,0.75
0.02,1.5,0.01,31,14,0.005151833541165068,0.014618937666201617,0.0005482754193586485,0.009048087404152918,0.7096774193548387,0.7142857142857143,0.0232050224751886,0.04466880459793649,0.0040188628993368565,0.02305163880663187,0.7096774193548387,0.9285714285714286
0.02,1.5,0.03,35,17,0.00699548780876407,0.015678053749079483,0.0023919296869576506,0.010107203487030784,0.7142857142857143,0.7058823529411765,0.02380216144882915,0.047789666603700265,0.004616001872977407,0.026172500812395645,0.7142857142857143,0.9411764705882353
0.02,1.5,0.05,36,18,0.008232560306187298,0.01625660750217288,0.003629002184380878,0.01068575724012418,0.7222222222222222,0.7222222222222222,0.025773818925697516,0.043400498606895474,0.006587659349845773,0.021783332815590854,0.7222222222222222,0.8888888888888888
0.02,1.5,0.075,40,18,0.010931167577660984,0.01625660750217288,0.006327609455854564,0.01068575724012418,0.75,0.7222222222222222,0.02828404149296687,0.043400498606895474,0.009097881917115129,0.021783332815590854,0.725,0.8888888888888888
0.02,1.5,0.1,43,18,0.007291913831249778,0.01625660750217288,0.002688355709443358,0.01068575724012418,0.6976744186046512,0.7222222222222222,0.022032361540869943,0.043400498606895474,0.0028462019650182004,0.021783332815590854,0.6976744186046512,0.8888888888888888
0.02,2.0,0.01,17,7,0.013050308164294462,0.009063308759894076,0.008446750042488042,0.0034924584978453764,0.8235294117647058,0.7142857142857143,0.05039396578665865,0.05625644960395003,0.031207806210806904,0.03463928381264541,0.8235294117647058,1.0
0.02,2.0,0.03,19,8,0.01770403442630544,0.016599524560662632,0.01310047630449902,0.011028674298613933,0.8421052631578947,0.75,0.05288579391363296,0.06128579385463903,0.03369963433778122,0.03966862806333441,0.8421052631578947,1.0
0.02,2.0,0.05,19,8,0.01770403442630544,0.016599524560662632,0.01310047630449902,0.011028674298613933,0.8421052631578947,0.75,0.05288579391363296,0.06128579385463903,0.03369963433778122,0.03966862806333441,0.8421052631578947,1.0
0.02,2.0,0.075,19,8,0.01770403442630544,0.016599524560662632,0.01310047630449902,0.011028674298613933,0.8421052631578947,0.75,0.05288579391363296,0.06128579385463903,0.03369963433778122,0.03966862806333441,0.8421052631578947,1.0
0.02,2.0,0.1,20,8,0.012450604429857837,0.016599524560662632,0.007847046308051418,0.011028674298613933,0.8,0.75,0.042326661592955325,0.06128579385463903,0.023140502017103583,0.03966862806333441,0.8,1.0
0.02,2.5,0.01,10,4,0.004963407552416144,0.01338350305444444,0.00035984943060972385,0.00781265279239574,0.7,0.75,0.0421215167440042,0.07578121835245949,0.02293535716815246,0.05416405256115487,0.8,1.0
0.02,2.5,0.03,10,4,0.004963407552416144,0.01338350305444444,0.00035984943060972385,0.00781265279239574,0.7,0.75,0.0421215167440042,0.07578121835245949,0.02293535716815246,0.05416405256115487,0.8,1.0
0.02,2.5,0.05,10,4,0.004963407552416144,0.01338350305444444,0.00035984943060972385,0.00781265279239574,0.7,0.75,0.0421215167440042,0.07578121835245949,0.02293535716815246,0.05416405256115487,0.8,1.0
0.02,2.5,0.075,10,4,0.004963407552416144,0.01338350305444444,0.00035984943060972385,0.00781265279239574,0.7,0.75,0.0421215167440042,0.07578121835245949,0.02293535716815246,0.05416405256115487,0.8,1.0
0.02,2.5,0.1,10,4,0.004963407552416144,0.01338350305444444,0.00035984943060972385,0.00781265279239574,0.7,0.75,0.0421215167440042,0.07578121835245949,0.02293535716815246,0.05416405256115487,0.8,1.0
0.02,3.0,0.01,5,3,0.00633975947337706,0.012196199421346754,0.0017362013515706404,0.006625349159298055,0.8,0.6666666666666666,0.04797189061535032,0.07857568374282937,0.02878573103949858,0.056958517951524755,0.8,1.0
0.02,3.0,0.03,5,3,0.00633975947337706,0.012196199421346754,0.0017362013515706404,0.006625349159298055,0.8,0.6666666666666666,0.04797189061535032,0.07857568374282937,0.02878573103949858,0.056958517951524755,0.8,1.0
0.02,3.0,0.05,5,3,0.00633975947337706,0.012196199421346754,0.0017362013515706404,0.006625349159298055,0.8,0.6666666666666666,0.04797189061535032,0.07857568374282937,0.02878573103949858,0.056958517951524755,0.8,1.0
0.02,3.0,0.075,5,3,0.00633975947337706,0.012196199421346754,0.0017362013515706404,0.006625349159298055,0.8,0.6666666666666666,0.04797189061535032,0.07857568374282937,0.02878573103949858,0.056958517951524755,0.8,1.0
0.02,3.0,0.1,5,3,0.00633975947337706,0.012196199421346754,0.0017362013515706404,0.006625349159298055,0.8,0.6666666666666666,0.04797189061535032,0.07857568374282937,0.02878573103949858,0.056958517951524755,0.8,1.0
0.025,1.5,0.01,25,12,0.006420275203155623,0.016787065185121203,0.0018167170813492032,0.011216214923072504,0.72,0.75,0.03310862125676318,0.0493875727785437,0.013922461680911435,0.02777040698723908,0.76,0.9166666666666666
0.025,1.5,0.03,27,13,0.006325434639759102,0.02083060133749977,0.0017218765179526823,0.01525975107545107,0.7037037037037037,0.7692307692307693,0.027472345077434127,0.053010928996306654,0.008286185501582385,0.031393763205002034,0.7407407407407407,0.9230769230769231
0.025,1.5,0.05,27,14,0.006325434639759102,0.021206417049446973,0.0017218765179526823,0.015635566787398275,0.7037037037037037,0.7857142857142857,0.027472345077434127,0.046994765686657176,0.008286185501582385,0.025377599895352557,0.7407407407407407,0.8571428571428571
0.025,1.5,0.075,30,14,0.008235347120694217,0.021206417049446973,0.0036317889988877975,0.015635566787398275,0.7333333333333333,0.7857142857142857,0.02922777019692343,0.046994765686657176,0.010041610621071687,0.025377599895352557,0.7333333333333333,0.8571428571428571
0.025,1.5,0.1,33,14,0.003738363795700839,0.021206417049446973,-0.0008651943261055806,0.015635566787398275,0.6666666666666666,0.7857142857142857,0.020995848255952597,0.046994765686657176,0.0018096886801008544,0.025377599895352557,0.696969696969697,0.8571428571428571
0.025,2.0,0.01,15,6,0.01667391143994091,0.012343550960964603,0.01207035331813449,0.006772700698915904,0.8666666666666667,0.8333333333333334,0.056918082348232146,0.06439812986688624,0.037731922772380404,0.04278096407558162,0.8666666666666667,1.0
0.025,2.0,0.03,16,7,0.01984631333933086,0.02048776299026145,0.01524275521752444,0.01491691272821275,0.875,0.8571428571428571,0.05766406254451103,0.06898285468725421,0.038477902968659286,0.04736568889594959,0.875,1.0
0.025,2.0,0.05,16,7,0.01984631333933086,0.02048776299026145,0.01524275521752444,0.01491691272821275,0.875,0.8571428571428571,0.05766406254451103,0.06898285468725421,0.038477902968659286,0.04736568889594959,0.875,1.0
0.025,2.0,0.075,16,7,0.01984631333933086,0.02048776299026145,0.01524275521752444,0.01491691272821275,0.875,0.8571428571428571,0.05766406254451103,0.06898285468725421,0.038477902968659286,0.04736568889594959,0.875,1.0
0.025,2.0,0.1,17,7,0.013539791054508657,0.02048776299026145,0.008936232932702237,0.01491691272821275,0.8235294117647058,0.8571428571428571,0.04496047930660333,0.06898285468725421,0.025774319730751588,0.04736568889594959,0.8235294117647058,1.0
0.025,2.5,0.01,9,4,0.012631409326155522,0.01338350305444444,0.008027851204349103,0.00781265279239574,0.7777777777777778,0.75,0.04960673126902246,0.07578121835245949,0.030420571693170716,0.05416405256115487,0.8888888888888888,1.0
0.025,2.5,0.03,9,4,0.012631409326155522,0.01338350305444444,0.008027851204349103,0.00781265279239574,0.7777777777777778,0.75,0.04960673126902246,0.07578121835245949,0.030420571693170716,0.05416405256115487,0.8888888888888888,1.0
0.025,2.5,0.05,9,4,0.012631409326155522,0.01338350305444444,0.008027851204349103,0.00781265279239574,0.7777777777777778,0.75,0.04960673126902246,0.07578121835245949,0.030420571693170716,0.05416405256115487,0.8888888888888888,1.0
0.025,2.5,0.075,9,4,0.012631409326155522,0.01338350305444444,0.008027851204349103,0.00781265279239574,0.7777777777777778,0.75,0.04960673126902246,0.07578121835245949,0.030420571693170716,0.05416405256115487,0.8888888888888888,1.0
0.025,2.5,0.1,9,4,0.012631409326155522,0.01338350305444444,0.008027851204349103,0.00781265279239574,0.7777777777777778,0.75,0.04960673126902246,0.07578121835245949,0.030420571693170716,0.05416405256115487,0.8888888888888888,1.0
0.025,3.0,0.01,4,3,0.023936851444530893,0.012196199421346754,0.019333293322724474,0.006625349159298055,1.0,0.6666666666666666,0.06627621676447792,0.07857568374282937,0.04709005718862618,0.056958517951524755,1.0,1.0
0.025,3.0,0.03,4,3,0.023936851444530893,0.012196199421346754,0.019333293322724474,0.006625349159298055,1.0,0.6666666666666666,0.06627621676447792,0.07857568374282937,0.04709005718862618,0.056958517951524755,1.0,1.0
0.025,3.0,0.05,4,3,0.023936851444530893,0.012196199421346754,0.019333293322724474,0.006625349159298055,1.0,0.6666666666666666,0.06627621676447792,0.07857568374282937,0.04709005718862618,0.056958517951524755,1.0,1.0
0.025,3.0,0.075,4,3,0.023936851444530893,0.012196199421346754,0.019333293322724474,0.006625349159298055,1.0,0.6666666666666666,0.06627621676447792,0.07857568374282937,0.04709005718862618,0.056958517951524755,1.0,1.0
0.025,3.0,0.1,4,3,0.023936851444530893,0.012196199421346754,0.019333293322724474,0.006625349159298055,1.0,0.6666666666666666,0.06627621676447792,0.07857568374282937,0.04709005718862618,0.056958517951524755,1.0,1.0
0.03,1.5,0.01,19,10,0.004603454824958819,0.023083431582315062,-1.0329684760074925e-07,0.01751258132026636,0.631578947368421,0.9,0.019940509697085378,0.056152331203030426,0.0007543501212336351,0.034535165411725806,0.7368421052631579,1.0
0.03,1.5,0.03,21,11,0.004654547469943939,0.02728975918083574,5.098934813751923e-05,0.02171890891878704,0.6190476190476191,0.9090909090909091,0.01394797475791734,0.059819501421796935,-0.005238184817934402,0.038202335630492315,0.7142857142857143,1.0
0.03,1.5,0.05,21,12,0.004654547469943939,0.027189947691162814,5.098934813751923e-05,0.021619097429114116,0.6190476190476191,0.9166666666666666,0.01394797475791734,0.05223326319174836,-0.005238184817934402,0.030616097400443743,0.7142857142857143,0.9166666666666666
0.03,1.5,0.075,23,12,0.007043409330073698,0.027189947691162814,0.0024398512082672782,0.021619097429114116,0.6521739130434783,0.9166666666666666,0.015971174349099598,0.05223326319174836,-0.003214985226752145,0.030616097400443743,0.6956521739130435,0.9166666666666666
0.03,1.5,0.1,26,12,0.0014732310088075467,0.027189947691162814,-0.003130327112998873,0.021619097429114116,0.5769230769230769,0.9166666666666666,0.007052572944923981,0.05223326319174836,-0.012133586630927761,0.030616097400443743,0.6538461538461539,0.9166666666666666
0.03,2.0,0.01,10,5,0.019159526397336625,0.018863677742745066,0.014555968275530205,0.013292827480696367,0.8,1.0,0.04874768662557201,0.05703002399873007,0.029561527049720267,0.03541285820742545,0.9,1.0
0.03,2.0,0.03,11,6,0.023547964163958757,0.027278570646627975,0.018944406042152338,0.021707720384579278,0.8181818181818182,1.0,0.050575511976764936,0.0636068872671854,0.031389352400913194,0.04198972147588078,0.9090909090909091,1.0
0.03,2.0,0.05,11,6,0.023547964163958757,0.027278570646627975,0.018944406042152338,0.021707720384579278,0.8181818181818182,1.0,0.050575511976764936,0.0636068872671854,0.031389352400913194,0.04198972147588078,0.9090909090909091,1.0
0.03,2.0,0.075,11,6,0.023547964163958757,0.027278570646627975,0.018944406042152338,0.021707720384579278,0.8181818181818182,1.0,0.050575511976764936,0.0636068872671854,0.031389352400913194,0.04198972147588078,0.9090909090909091,1.0
0.03,2.0,0.1,12,6,0.014305253358408312,0.027278570646627975,0.009701695236601892,0.021707720384579278,0.75,1.0,0.03316948160370787,0.0636068872671854,0.013983322027856127,0.04198972147588078,0.8333333333333334,1.0
0.03,2.5,0.01,8,3,0.01401108789918451,0.024597031721905156,0.00940752977737809,0.019026181459856455,0.75,1.0,0.04404599474063739,0.06729540473405697,0.024859835164785647,0.04567823894275235,0.875,1.0
0.03,2.5,0.03,8,3,0.01401108789918451,0.024597031721905156,0.00940752977737809,0.019026181459856455,0.75,1.0,0.04404599474063739,0.06729540473405697,0.024859835164785647,0.04567823894275235,0.875,1.0
0.03,2.5,0.05,8,3,0.01401108789918451,0.024597031721905156,0.00940752977737809,0.019026181459856455,0.75,1.0,0.04404599474063739,0.06729540473405697,0.024859835164785647,0.04567823894275235,0.875,1.0
0.03,2.5,0.075,8,3,0.01401108789918451,0.024597031721905156,0.00940752977737809,0.019026181459856455,0.75,1.0,0.04404599474063739,0.06729540473405697,0.024859835164785647,0.04567823894275235,0.875,1.0
