ticker,recipe,params,dev_events,oos_events,dev_alpha_20d,oos_alpha_20d,dev_tstat_20d,oos_tstat_20d,min_tstat
NTAP,pullback_uptrend,"{'trend_strength': 0.15, 'pullback': 0.03, 'rvol': 1.0}",18,11,0.095939249000935,0.10378234087821606,8.108806932661853,4.723082462986233,4.723082462986233
SCHW,pullback_uptrend,"{'trend_strength': 0.05, 'pullback': 0.05, 'rvol': 1.0}",13,9,0.06672399118898903,0.10891813357624905,5.702693081591597,4.25157115286201,4.25157115286201
TXN,pullback_uptrend,"{'trend_strength': 0.05, 'pullback': 0.02, 'rvol': 1.0}",35,17,0.033752009744195476,0.05941400713986419,3.7385807598978564,4.390855545289118,3.7385807598978564
EL,pullback_uptrend,"{'trend_strength': 0.1, 'pullback': 0.02, 'rvol': 1.0}",23,14,0.05037554529827108,0.08372530291760835,4.195864775635573,3.6640915307048356,3.6640915307048356
PVH,pullback_uptrend,"{'trend_strength': 0.05, 'pullback': 0.03, 'rvol': 1.0}",19,17,0.0420965441700311,0.08544653588572355,4.038483062690377,3.5796057758239894,3.5796057758239894
PYPL,pullback_uptrend,"{'trend_strength': 0.05, 'pullback': 0.03, 'rvol': 1.5}",19,6,0.0553558414415199,0.06738819295967029,3.5049774556127993,3.6753576557530643,3.5049774556127993
