ticker,n_robust_combos,n_combos_tested,original_dev_events,original_oos_events,original_dev_alpha_20d,original_oos_alpha_20d
AAPL,41,80,19,8,0.03369963433778122,0.03966862806333441
MSFT,0,80,12,7,-0.005306833191306842,-0.03573681437861348
GOOGL,0,80,22,14,0.0035847997821014475,-0.01752281054442099
AMZN,0,80,14,9,-0.023395987974188594,-0.013890178668018761
NVDA,0,80,30,4,-0.007366646565620999,0.12508622874454772
