entry_date,exit_date,entry_price,exit_price,shares,return_pct,pnl,exit_reason
2016-07-28,2016-08-08,25.707500457763672,26.992875480651858,3889.915325073931,0.050000000000000044,5000.000000000008,TP
2016-09-14,2016-09-15,27.1825008392334,28.54162588119507,3862.779242462123,0.050000000000000044,5250.000000000009,TP
2016-09-15,2016-09-23,28.46500015258789,27.895700149536133,3873.17756574741,-0.020000000000000018,-2205.0000000000014,SL
2017-02-02,2017-02-14,31.9950008392334,33.59475088119507,3376.9338073437843,0.050000000000000044,5402.250000000001,TP
2017-05-09,2017-05-17,38.467498779296875,37.698148803710936,2949.1714720234704,-0.020000000000000018,-2268.945000000005,SL
2017-08-03,2017-08-31,39.26250076293945,40.90999984741211,2831.6664206204387,0.041961134733113026,4665.167835504136,TIME
2017-10-30,2017-11-03,40.97249984741211,43.021124839782715,2827.346958738741,0.050000000000000044,5792.173641775207,TP
2017-11-06,2017-11-15,43.092498779296875,42.230648803710935,2822.664034876467,-0.020000000000000018,-2432.712929545595,SL
2018-05-03,2018-05-07,43.970001220703125,46.16850128173828,2711.00591854447,0.050000000000000044,5960.146677386684,TP
2018-08-02,2018-08-13,50.14500045776367,52.65225048065186,2496.023114618242,0.050000000000000044,6258.15401125603,TP
2019-05-02,2019-05-06,52.459999084472656,51.4107991027832,2505.170349407709,-0.020000000000000018,-2628.4246847275335,SL
2019-08-01,2019-08-02,53.474998474121094,52.40549850463867,2408.4677555246208,-0.020000000000000018,-2575.856191032979,SL
2020-08-03,2020-08-06,108.19999694824219,113.6099967956543,1166.5153134985044,0.050000000000000044,6310.847668030798,TP
2021-11-19,2021-11-22,157.64999389648438,165.5324935913086,840.6457732923652,0.050000000000000044,6626.390051432339,TP
2021-12-01,2021-12-02,167.47999572753906,164.13039581298827,830.870519643784,-0.02000000000000013,-2783.0838216015923,SL
2023-02-06,2023-02-10,152.57000732421875,149.51860717773437,893.8264449885108,-0.020000000000000018,-2727.422145169557,SL
2023-05-08,2023-06-02,172.47999572753906,181.10399551391603,774.8358558891691,0.050000000000000044,6682.184255665411,TP
2024-05-06,2024-05-20,182.35000610351562,191.4675064086914,769.5413472556387,0.050000000000000044,7016.293468448667,TP
2024-06-12,2024-06-17,207.3699951171875,217.73849487304688,710.5278791859788,0.050000000000000044,7367.108141871101,TP
2025-08-07,2025-08-08,218.8800048828125,229.82400512695312,706.8223114401147,0.050000000000000044,7735.463548964656,TP
2025-08-11,2025-09-04,227.9199981689453,239.31599807739258,712.7269911955943,0.050000000000000044,8122.236726412888,TP
2025-09-22,2025-10-20,248.3000030517578,260.7150032043457,686.9390622565404,0.050000000000000044,8528.348562733523,TP
