move,rvol,distance,dev_events,oos_events,dev_alpha_20d,oos_alpha_20d,dev_mean_20d,oos_mean_20d
0.015,1.5,0.01,33,15,0.0035357474971424233,0.012226116090024289,0.022721907072994166,0.03384328188132891
0.015,1.5,0.03,37,18,0.0041528373805531545,0.0169778506593469,0.023338996956404897,0.03859501645065152
0.015,1.5,0.05,39,19,0.0023161987971023097,0.01330362045990282,0.021502358372954052,0.03492078625120744
0.015,1.5,0.075,43,19,0.00504863472504994,0.01330362045990282,0.024234794300901683,0.03492078625120744
0.015,1.5,0.1,47,19,0.0003756572725795229,0.01330362045990282,0.019561816848431265,0.03492078625120744
0.015,2.0,0.01,18,8,0.02670585486223153,0.012892973093254496,0.04589201443808327,0.034510138884559116
0.015,2.0,0.03,20,9,0.029523286717714668,0.019779758062688155,0.04870944629356641,0.041396923853992774
0.015,2.0,0.05,20,9,0.029523286717714668,0.019779758062688155,0.04870944629356641,0.041396923853992774
0.015,2.0,0.075,20,9,0.029523286717714668,0.019779758062688155,0.04870944629356641,0.041396923853992774
0.015,2.0,0.1,21,9,0.019665843918024846,0.019779758062688155,0.03885200349387659,0.041396923853992774
0.015,2.5,0.01,11,5,0.016320568510724984,0.015465001660427517,0.035506728086576726,0.03708216745173214
0.015,2.5,0.03,11,5,0.016320568510724984,0.015465001660427517,0.035506728086576726,0.03708216745173214
0.015,2.5,0.05,11,5,0.016320568510724984,0.015465001660427517,0.035506728086576726,0.03708216745173214
0.015,2.5,0.075,11,5,0.016320568510724984,0.015465001660427517,0.035506728086576726,0.03708216745173214
0.015,2.5,0.1,11,5,0.016320568510724984,0.015465001660427517,0.035506728086576726,0.03708216745173214
0.015,3.0,0.01,5,4,0.02878573103949858,0.0078860879780231,0.04797189061535032,0.02950325376932772
0.015,3.0,0.03,5,4,0.02878573103949858,0.0078860879780231,0.04797189061535032,0.02950325376932772
0.015,3.0,0.05,5,4,0.02878573103949858,0.0078860879780231,0.04797189061535032,0.02950325376932772
0.015,3.0,0.075,5,4,0.02878573103949858,0.0078860879780231,0.04797189061535032,0.02950325376932772
0.015,3.0,0.1,5,4,0.02878573103949858,0.0078860879780231,0.04797189061535032,0.02950325376932772
0.02,1.5,0.01,31,14,0.0040188628993368565,0.02305163880663187,0.0232050224751886,0.04466880459793649
0.02,1.5,0.03,35,17,0.004616001872977407,0.026172500812395645,0.02380216144882915,0.047789666603700265
0.02,1.5,0.05,36,18,0.006587659349845773,0.021783332815590854,0.025773818925697516,0.043400498606895474
0.02,1.5,0.075,40,18,0.009097881917115129,0.021783332815590854,0.02828404149296687,0.043400498606895474
0.02,1.5,0.1,43,18,0.0028462019650182004,0.021783332815590854,0.022032361540869943,0.043400498606895474
0.02,2.0,0.01,17,7,0.031207806210806904,0.03463928381264541,0.05039396578665865,0.05625644960395003
0.02,2.0,0.03,19,8,0.03369963433778122,0.03966862806333441,0.05288579391363296,0.06128579385463903
0.02,2.0,0.05,19,8,0.03369963433778122,0.03966862806333441,0.05288579391363296,0.06128579385463903
0.02,2.0,0.075,19,8,0.03369963433778122,0.03966862806333441,0.05288579391363296,0.06128579385463903
0.02,2.0,0.1,20,8,0.023140502017103583,0.03966862806333441,0.042326661592955325,0.06128579385463903
0.02,2.5,0.01,10,4,0.02293535716815246,0.05416405256115487,0.0421215167440042,0.07578121835245949
0.02,2.5,0.03,10,4,0.02293535716815246,0.05416405256115487,0.0421215167440042,0.07578121835245949
0.02,2.5,0.05,10,4,0.02293535716815246,0.05416405256115487,0.0421215167440042,0.07578121835245949
0.02,2.5,0.075,10,4,0.02293535716815246,0.05416405256115487,0.0421215167440042,0.07578121835245949
0.02,2.5,0.1,10,4,0.02293535716815246,0.05416405256115487,0.0421215167440042,0.07578121835245949
0.02,3.0,0.01,5,3,0.02878573103949858,0.056958517951524755,0.04797189061535032,0.07857568374282937
0.02,3.0,0.03,5,3,0.02878573103949858,0.056958517951524755,0.04797189061535032,0.07857568374282937
0.02,3.0,0.05,5,3,0.02878573103949858,0.056958517951524755,0.04797189061535032,0.07857568374282937
0.02,3.0,0.075,5,3,0.02878573103949858,0.056958517951524755,0.04797189061535032,0.07857568374282937
0.02,3.0,0.1,5,3,0.02878573103949858,0.056958517951524755,0.04797189061535032,0.07857568374282937
0.025,1.5,0.01,25,12,0.013922461680911435,0.02777040698723908,0.03310862125676318,0.0493875727785437
0.025,1.5,0.03,27,13,0.008286185501582385,0.031393763205002034,0.027472345077434127,0.053010928996306654
0.025,1.5,0.05,27,14,0.008286185501582385,0.025377599895352557,0.027472345077434127,0.046994765686657176
0.025,1.5,0.075,30,14,0.010041610621071687,0.025377599895352557,0.02922777019692343,0.046994765686657176
0.025,1.5,0.1,33,14,0.0018096886801008544,0.025377599895352557,0.020995848255952597,0.046994765686657176
0.025,2.0,0.01,15,6,0.037731922772380404,0.04278096407558162,0.056918082348232146,0.06439812986688624
0.025,2.0,0.03,16,7,0.038477902968659286,0.04736568889594959,0.05766406254451103,0.06898285468725421
0.025,2.0,0.05,16,7,0.038477902968659286,0.04736568889594959,0.05766406254451103,0.06898285468725421
0.025,2.0,0.075,16,7,0.038477902968659286,0.04736568889594959,0.05766406254451103,0.06898285468725421
