move,rvol,distance,dev_events,oos_events,dev_alpha_20d,oos_alpha_20d,dev_mean_20d,oos_mean_20d
0.015,1.5,0.01,44,21,-0.006896724027975613,-0.014912131111054681,0.015496553757385628,0.01153679981752613
0.015,1.5,0.03,47,23,-0.005201843063201404,-0.012055415985676976,0.017191434722159837,0.014393514942903836
0.015,1.5,0.05,49,23,-0.0043816397322205825,-0.012055415985676976,0.01801163805314066,0.014393514942903836
0.015,1.5,0.075,51,26,-0.008697003670235045,-0.007114073442075465,0.013696274115126196,0.019334857486505347
0.015,1.5,0.1,53,27,-0.00874695894202127,-0.007114073442075465,0.013646318843339972,0.019334857486505347
0.015,2.0,0.01,13,12,-0.02403045110673266,-0.01258665174283203,-0.001637173321371417,0.013862279185748783
0.015,2.0,0.03,15,12,-0.01832674824969871,-0.01258665174283203,0.004066529535662533,0.013862279185748783
0.015,2.0,0.05,15,12,-0.01832674824969871,-0.01258665174283203,0.004066529535662533,0.013862279185748783
0.015,2.0,0.075,16,15,-0.027190427812469584,-0.004001942577267641,-0.004797150027108343,0.02244698835131317
0.015,2.0,0.1,17,16,-0.028757340775206766,-0.004001942577267641,-0.006364062989845526,0.02244698835131317
0.015,2.5,0.01,7,8,-0.007711331809711357,0.0016846321979550466,0.014681945975649884,0.02813356312653586
0.015,2.5,0.03,8,8,-0.010898588954319072,0.0016846321979550466,0.011494688831042169,0.02813356312653586
0.015,2.5,0.05,8,8,-0.010898588954319072,0.0016846321979550466,0.011494688831042169,0.02813356312653586
0.015,2.5,0.075,9,8,-0.027481592543176146,0.0016846321979550466,-0.005088314757814905,0.02813356312653586
0.015,2.5,0.1,9,9,-0.027481592543176146,0.0016846321979550466,-0.005088314757814905,0.02813356312653586
0.015,3.0,0.01,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.015,3.0,0.03,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.015,3.0,0.05,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.015,3.0,0.075,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.015,3.0,0.1,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.02,1.5,0.01,36,18,-0.011576079095923559,-0.015999921955189796,0.010817198689437682,0.010449008973391016
0.02,1.5,0.03,39,20,-0.009173579851097105,-0.012546221992900793,0.013219697934264136,0.01390270893568002
0.02,1.5,0.05,41,20,-0.00799959358783243,-0.012546221992900793,0.014393684197528811,0.01390270893568002
0.02,1.5,0.075,42,23,-0.011622118056075293,-0.006828858227752806,0.010771159729285948,0.019620072700828006
0.02,1.5,0.1,44,24,-0.011549331706825053,-0.006828858227752806,0.010843946078536188,0.019620072700828006
0.02,2.0,0.01,12,9,-0.03041987269005702,-0.013890178668018761,-0.00802659490469578,0.01255875226056205
0.02,2.0,0.03,14,9,-0.023395987974188594,-0.013890178668018761,-0.0010027101888273524,0.01255875226056205
0.02,2.0,0.05,14,9,-0.023395987974188594,-0.013890178668018761,-0.0010027101888273524,0.01255875226056205
0.02,2.0,0.075,15,12,-0.032512630192844866,-0.0026086778413404316,-0.010119352407483628,0.02384025308724038
0.02,2.0,0.1,16,13,-0.033844837566979674,-0.0026086778413404316,-0.01145155978161843,0.02384025308724038
0.02,2.5,0.01,7,7,-0.007711331809711357,-0.0044531368792073665,0.014681945975649884,0.021995794049373445
0.02,2.5,0.03,8,7,-0.010898588954319072,-0.0044531368792073665,0.011494688831042169,0.021995794049373445
0.02,2.5,0.05,8,7,-0.010898588954319072,-0.0044531368792073665,0.011494688831042169,0.021995794049373445
0.02,2.5,0.075,9,7,-0.027481592543176146,-0.0044531368792073665,-0.005088314757814905,0.021995794049373445
0.02,2.5,0.1,9,8,-0.027481592543176146,-0.0044531368792073665,-0.005088314757814905,0.021995794049373445
0.02,3.0,0.01,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.02,3.0,0.03,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.02,3.0,0.05,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.02,3.0,0.075,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.02,3.0,0.1,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.025,1.5,0.01,29,17,-0.018682476582930374,-0.010620167665978612,0.0037108012024308665,0.0158287632626022
0.025,1.5,0.03,31,19,-0.014503651570256348,-0.007596221151697453,0.007889626215104893,0.01885270977688336
0.025,1.5,0.05,33,19,-0.012722027926857251,-0.007596221151697453,0.00967124985850399,0.01885270977688336
0.025,1.5,0.075,34,21,-0.017058015965891824,-0.00032425032739717696,0.005335261819469417,0.026124680601183635
0.025,1.5,0.1,36,22,-0.016667060544040612,-0.00032425032739717696,0.00572621724132063,0.026124680601183635
0.025,2.0,0.01,11,9,-0.030561324577908708,-0.013890178668018761,-0.008168046792547467,0.01255875226056205
0.025,2.0,0.03,12,9,-0.0221225450623649,-0.013890178668018761,0.0002707327229963437,0.01255875226056205
0.025,2.0,0.05,12,9,-0.0221225450623649,-0.013890178668018761,0.0002707327229963437,0.01255875226056205
0.025,2.0,0.075,13,11,-0.03273970476941627,0.0011853574014160234,-0.010346426984055027,0.027634288329996835
0.025,2.0,0.1,14,12,-0.034246007870100945,0.0011853574014160234,-0.011852730084739702,0.027634288329996835
0.025,2.5,0.01,6,7,-0.0041859034573818385,-0.0044531368792073665,0.018207374327979402,0.021995794049373445
0.025,2.5,0.03,6,7,-0.0041859034573818385,-0.0044531368792073665,0.018207374327979402,0.021995794049373445
0.025,2.5,0.05,6,7,-0.0041859034573818385,-0.0044531368792073665,0.018207374327979402,0.021995794049373445
0.025,2.5,0.075,7,7,-0.02646586314261768,-0.0044531368792073665,-0.004072585357256441,0.021995794049373445
0.025,2.5,0.1,7,8,-0.02646586314261768,-0.0044531368792073665,-0.004072585357256441,0.021995794049373445
0.025,3.0,0.01,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.025,3.0,0.03,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.025,3.0,0.05,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.025,3.0,0.075,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.025,3.0,0.1,5,4,-0.023523017455263927,-0.013642902236580719,-0.0011297396699026852,0.012806028692000093
0.03,1.5,0.01,22,16,-0.022987152897821293,-0.012886485878596286,-0.0005938751124600527,0.013562445049984526
0.03,1.5,0.03,23,17,-0.021054033527550062,-0.01153925247235928,0.0013392442578111785,0.014909678456221532
0.03,1.5,0.05,25,17,-0.018178259761679756,-0.01153925247235928,0.004215018023681485,0.014909678456221532
0.03,1.5,0.075,26,19,-0.023638542896001025,-0.0029478696310046397,-0.0012452651106397833,0.023501061297576172
0.03,1.5,0.1,28,20,-0.02266584828718452,-0.0029478696310046397,-0.0002725705018232811,0.023501061297576172
0.03,2.0,0.01,10,8,-0.0254135318410269,-0.018889959522116986,-0.003020254055665661,0.007558971406463825
0.03,2.0,0.03,10,8,-0.0254135318410269,-0.018889959522116986,-0.003020254055665661,0.007558971406463825
0.03,2.0,0.05,10,8,-0.0254135318410269,-0.018889959522116986,-0.003020254055665661,0.007558971406463825
0.03,2.0,0.075,11,10,-0.03766190360584561,-0.0010283014773898418,-0.015268625820484372,0.02542062945119097
0.03,2.0,0.1,12,11,-0.03900907398694195,-0.0010283014773898418,-0.016615796201580713,0.02542062945119097
0.03,2.5,0.01,6,6,-0.0041859034573818385,-0.009565421717182606,0.018207374327979402,0.016883509211398206
0.03,2.5,0.03,6,6,-0.0041859034573818385,-0.009565421717182606,0.018207374327979402,0.016883509211398206
0.03,2.5,0.05,6,6,-0.0041859034573818385,-0.009565421717182606,0.018207374327979402,0.016883509211398206
0.03,2.5,0.075,7,6,-0.02646586314261768,-0.009565421717182606,-0.004072585357256441,0.016883509211398206
0.03,2.5,0.1,7,7,-0.02646586314261768,-0.009565421717182606,-0.004072585357256441,0.016883509211398206
0.03,3.0,0.01,5,3,-0.023523017455263927,-0.03101849701020549,-0.0011297396699026852,-0.004569566081624676
0.03,3.0,0.03,5,3,-0.023523017455263927,-0.03101849701020549,-0.0011297396699026852,-0.004569566081624676
0.03,3.0,0.05,5,3,-0.023523017455263927,-0.03101849701020549,-0.0011297396699026852,-0.004569566081624676
0.03,3.0,0.075,5,3,-0.023523017455263927,-0.03101849701020549,-0.0011297396699026852,-0.004569566081624676
0.03,3.0,0.1,5,3,-0.023523017455263927,-0.03101849701020549,-0.0011297396699026852,-0.004569566081624676
