stop_pct,target_pct,dev_trades,oos_trades,dev_return,oos_return,dev_sharpe,oos_sharpe,dev_max_dd,oos_max_dd,dev_win_rate,oos_win_rate,dev_profit_factor,oos_profit_factor,dev_tp,dev_sl,dev_time,oos_tp,oos_sl,oos_time
0.01,0.03,18,8,0.2039725328102613,0.12484247501921608,0.7180093043290149,0.9939494323585353,-0.05428260911046345,-0.023339886925138553,0.5555555555555556,0.625,3.75000000000001,5.000000000000019,10,8,0,5,3,0
0.01,0.04,16,8,0.26283983021972346,0.12376146500034602,0.772850184161588,0.8343577633273624,-0.05428260911046334,-0.03295420041768271,0.5,0.5,4.0,4.0000000000000115,8,8,0,4,4,0
0.01,0.05,16,7,0.37708502223232876,0.11200995607624997,0.9525247916663366,0.636585179592021,-0.04401850280756281,-0.0474424345236758,0.5625,0.42857142857142855,6.428571428571429,3.75000000000001,9,7,0,3,4,0
0.01,0.07,13,6,0.6339779608958498,0.18865799785700021,1.2246787214664931,0.8885034733805797,-0.0440185028075627,-0.0474424345236758,0.6153846153846154,0.5,11.2,7.000000000000026,8,5,0,3,3,0
0.01,0.1,14,7,0.7764153279133414,0.25319099775233767,1.2807441830505824,1.0378508789715577,-0.04401850280756281,-0.04744243452367569,0.5714285714285714,0.42857142857142855,10.673067677315796,6.684945554533763,3,6,5,2,4,1
0.01,0.12,14,6,0.8750831208224161,0.2719061604424493,1.368713465422567,1.0954125005241666,-0.04401850280756281,-0.0474424345236758,0.5714285714285714,0.5,11.673067677315796,9.462967526360426,3,6,5,1,3,2
0.01,0.15,14,6,0.964563060137513,0.25364584169527626,1.400516854968565,1.0086918489347376,-0.04401850280756281,-0.047442434523675914,0.5714285714285714,0.5,12.556771433256513,8.926985715938207,2,6,6,0,3,3
0.01,0.2,14,6,0.902786585312289,0.25364584169527626,1.239259574113018,1.0086918489347376,-0.06224574176040254,-0.047442434523675914,0.5714285714285714,0.5,12.0139027678965,8.926985715938207,1,6,7,0,3,3
0.015,0.03,17,8,0.20899877421057544,0.15849938939984942,0.6778590322123778,1.0512716308463572,-0.048846692187322516,-0.033431162975891215,0.5882352941176471,0.75,2.8571428571428603,6.0,10,7,0,6,2,0
0.015,0.04,16,8,0.2804235910695645,0.1627206562975747,0.757833986323995,0.9424705154964107,-0.048846692187322516,-0.037838270112542705,0.5625,0.625,3.4285714285714324,4.444444444444445,9,7,0,5,3,0
0.015,0.05,17,7,0.3291316691619355,0.1616248331351562,0.8059939277344065,0.798059778955854,-0.048846692187322516,-0.05227069606085466,0.5882352941176471,0.5714285714285714,4.761904761904767,4.444444444444445,10,7,0,4,3,0
0.015,0.07,15,8,0.5931305800767088,0.27176705880225027,1.1330790734867042,1.1145491556674225,-0.048846692187322516,-0.052253331319010776,0.5333333333333333,0.5,5.333333333333345,4.666666666666667,8,7,0,4,4,0
0.015,0.1,12,6,0.7407991078948195,0.3075115397988293,1.2104765896286944,1.147081368488668,-0.04884669218732263,-0.052253331319010776,0.6666666666666666,0.6666666666666666,10.673067677315837,10.36077265934918,3,4,5,2,2,2
0.015,0.12,12,6,0.8374886619507542,0.32703792582491964,1.2986560666738642,1.2005506312478094,-0.048846692187322405,-0.052253331319010776,0.6666666666666666,0.6666666666666666,11.67306767731584,10.910479446331246,3,4,5,1,2,3
0.015,0.15,13,6,0.9251745741845645,0.30798609930752874,1.3343536457666845,1.1188660741793932,-0.048846692187322405,-0.052253331319010776,0.6153846153846154,0.6666666666666666,10.045417146605239,10.374497635909028,2,5,6,0,2,4
0.015,0.2,12,6,0.8646366861271813,0.30798609930752874,1.1824988690930869,1.1188660741793932,-0.06224574176040254,-0.052253331319010776,0.6666666666666666,0.6666666666666666,12.013902767896546,10.374497635909028,1,4,7,0,2,4
0.02,0.03,17,8,0.22621302771513263,0.1467678255864513,0.6788940409260377,0.9195446080659762,-0.05367488156708233,-0.03833760377296813,0.6470588235294118,0.75,2.7499999999999973,4.5,11,6,0,6,2,0
0.02,0.04,16,8,0.31126312161239555,0.21521238536355836,0.7796512742672999,1.0681046005977786,-0.05367488156708233,-0.03833760377296813,0.625,0.75,3.3333333333333304,6.0,10,6,0,6,2,0
0.02,0.05,15,7,0.3637110725847752,0.31329372781249987,0.8317686641153884,1.2491637534910147,-0.05367488156708233,-0.04956209178925064,0.6,0.8571428571428571,3.6830094561092714,15.0,8,6,1,6,1,0
0.02,0.07,14,6,0.6513002410049002,0.32384693658806407,1.1788957142861445,1.2682919971980877,-0.05367488156708222,-0.04956209178925064,0.7142857142857143,0.8333333333333334,7.876659148299837,15.528392316674374,8,4,2,4,1,1
0.02,0.1,12,7,0.8135664817213186,0.36105518265776304,1.2641398663279202,1.2904460153712374,-0.05367488156708233,-0.04956209178925064,0.75,0.8571428571428571,11.37241992286768,19.061478715315832,3,3,6,2,1,4
0.02,0.12,12,7,0.9142977686189107,0.38138118980220104,1.349656515752879,1.3421465478985162,-0.05367488156708211,-0.04956209178925042,0.75,0.8571428571428571,12.37241992286768,19.886038895788932,3,3,6,1,1,5
0.02,0.15,12,7,1.0056490512713387,0.3615491757577358,1.3837631482341992,1.2594967191313202,-0.05367488156708233,-0.04956209178925053,0.75,0.8571428571428571,13.256123678808395,19.082066180155604,2,3,7,0,1,6
0.02,0.2,12,7,0.9425806109457708,0.3615491757577358,1.233642142669311,1.2594967191313202,-0.06224574176040265,-0.04956209178925053,0.75,0.8571428571428571,12.713255013448384,19.082066180155604,1,3,8,0,1,6
0.025,0.03,17,8,0.2562317771604117,0.1350959643878804,0.6896721453689494,0.7733370161025158,-0.05850307094684215,-0.047432556985356644,0.7058823529411765,0.75,2.8800000000000052,3.599999999999992,12,5,0,6,2,0
0.025,0.04,17,8,0.356406339143837,0.20284389195775998,0.8079080847037571,0.9478027676829607,-0.05850307094684193,-0.047432556985356644,0.7058823529411765,0.75,3.840000000000007,4.799999999999989,12,5,0,6,2,0
