period,strategy_return,strategy_cagr,strategy_sharpe,strategy_max_dd,strategy_trades,buyhold_return,buyhold_cagr,buyhold_sharpe,buyhold_max_dd
FULL SAMPLE,0.7909531981740414,0.05155995443169248,0.9776571382753632,-0.05367488156708233,22,9.98590517468704,0.229687639581736,0.8681148660317504,-0.38729694508624535
DEVELOPMENT — hasta 2022,0.3637110725847752,0.03957785369214872,0.8317686641153884,-0.05367488156708233,15,3.66576868256472,0.21254659005679488,0.8013929213380153,-0.38729694508624535
OUT-OF-SAMPLE — 2023 en adelante,0.31329372781249987,0.07866241686055586,1.2491637534910147,-0.04956209178925064,7,1.3482498890259227,0.2676729972891645,1.0884030256442894,-0.3343370956600401
