ticker,error
RHT,No data received for RHT
"SPGI,""S&P Global, Inc-"",Financials","Duplicate column names found: ['Open', 'Open', 'Open', 'Open', 'Open', 'High', 'High', 'High', 'High', 'High', 'Low', 'Low', 'Low', 'Low', 'Low', 'Close', 'Close', 'Close', 'Close', 'Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Volume', 'Volume', 'Volume', 'Volume', 'Volume']"
SNI,No data received for SNI
SEE,No data received for SEE
SRCL,No data received for SRCL
SYMC,No data received for SYMC
"TPR,""Tapestry, Inc-"",Consumer Discretionary","Duplicate column names found: ['Open', 'Open', 'Open', 'Open', 'Open', 'High', 'High', 'High', 'High', 'High', 'Low', 'Low', 'Low', 'Low', 'Low', 'Close', 'Close', 'Close', 'Close', 'Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Volume', 'Volume', 'Volume', 'Volume', 'Volume']"
BK,No data received for BK
TIF,No data received for TIF
TMK,No data received for TMK
TSS,No data received for TSS
"URI,""United Rentals, Inc-"",Industrials","Duplicate column names found: ['Open', 'Open', 'Open', 'Open', 'Open', 'High', 'High', 'High', 'High', 'High', 'Low', 'Low', 'Low', 'Low', 'Low', 'Close', 'Close', 'Close', 'Close', 'Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Volume', 'Volume', 'Volume', 'Volume', 'Volume']"
UTX,No data received for UTX
"UHS,""Universal Health Services, Inc-"",Health Care","Duplicate column names found: ['Open', 'Open', 'Open', 'Open', 'Open', 'Open', 'High', 'High', 'High', 'High', 'High', 'High', 'Low', 'Low', 'Low', 'Low', 'Low', 'Low', 'Close', 'Close', 'Close', 'Close', 'Close', 'Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Adj Close', 'Volume', 'Volume', 'Volume', 'Volume', 'Volume', 'Volume']"
VAR,No data received for VAR
VIAB,No data received for VIAB
WBA,No data received for WBA
HCN,No data received for HCN
WRK,No data received for WRK
WLTW,No data received for WLTW
WYN,No data received for WYN
XLNX,No data received for XLNX
XL,No data received for XL
