symbol,entry_date,exit_date,entry_price,exit_price,return_pct,pnl,exit_reason
TXN,2016-05-02,2016-05-31,57.29999923706055,61.02000045776367,0.06492148813672416,6492.148813672407,TIME
PVH,2016-06-27,2016-06-28,92.19999694824219,87.58999710083008,-0.050000000000000044,-5324.607440683623,SL
TXN,2016-06-28,2016-07-18,59.40999984741211,65.35099983215332,0.10000000000000009,10116.754137298878,TP
PVH,2016-08-04,2016-08-18,96.0999984741211,105.7099983215332,0.10000000000000009,11128.42955102877,TP
TXN,2016-09-12,2016-10-10,66.30999755859375,71.08000183105469,0.0719349185354139,8805.74940498382,TIME
NTAP,2016-10-14,2016-11-03,34.04999923706055,32.34749927520752,-0.050000000000000044,-6560.92372331502,SL
NTAP,2016-11-03,2016-11-04,32.5,30.875,-0.050000000000000044,-6232.877537149263,SL
PVH,2016-11-04,2016-11-10,103.04000091552734,113.34400100708008,0.10000000000000009,3947.489106861201,TP
NTAP,2016-11-04,2016-11-14,31.329999923706055,34.46299991607666,0.10000000000000009,3947.489106861202,TP
TXN,2016-11-04,2016-11-21,66.87999725341797,73.56799697875977,0.10000000000000009,3947.4891068612,TP
SCHW,2017-02-03,2017-03-06,39.869998931884766,42.08000183105469,0.05543022218148441,7220.736542326101,TIME
SCHW,2017-03-28,2017-04-18,39.38999938964844,37.42049942016602,-0.04999999999999993,-6874.39385343728,SL
EL,2017-07-10,2017-08-07,94.30999755859375,98.44000244140625,0.04379180351740097,5719.799993688133,TIME
EL,2017-09-29,2017-10-27,106.76000213623047,111.33000183105469,0.04280629077725839,5835.92216366264,TIME
PVH,2017-11-08,2017-11-20,122.44999694824219,134.69499664306642,0.10000000000000009,14216.920537265936,TP
PYPL,2017-12-05,2018-01-03,69.80999755859375,76.79099731445314,0.10000000000000009,15638.612590992541,TP
PYPL,2017-12-06,2018-01-05,70.88999938964844,77.97899932861328,0.10000000000000009,2.9103830456733713e-12,TP
TXN,2018-02-01,2018-02-06,108.75,103.3125,-0.050000000000000044,-8601.236925045887,SL
TXN,2018-02-06,2018-02-09,102.62000274658203,97.48900260925292,-0.050000000000000044,-2042.7937696984013,SL
NTAP,2018-02-06,2018-02-15,55.790000915527344,53.00050086975097,-0.050000000000000044,-2042.793769698401,SL
PYPL,2018-02-06,2018-02-26,72.62999725341797,79.89299697875977,0.10000000000000009,4085.5875393967976,TP
TXN,2018-02-09,2018-02-26,99.5199966430664,109.47199630737306,0.10000000000000009,1293.769387475654,TP
SCHW,2018-02-06,2018-02-27,50.0,55.00000000000001,0.10000000000000009,4085.5875393968017,TP
SCHW,2018-02-09,2018-02-27,50.209999084472656,55.23099899291993,0.10000000000000009,1293.7693874756537,TP
NTAP,2018-02-16,2018-03-06,57.400001525878906,63.1400016784668,0.10000000000000009,3881.3081624269594,TP
PVH,2018-02-09,2018-03-12,143.6699981689453,143.05999755859375,-0.00424584546617901,-54.93144888094687,TIME
PVH,2018-03-02,2018-04-02,141.8699951171875,151.6300048828125,0.06879544725128839,8141.655845587126,TIME
PVH,2018-03-08,2018-04-04,141.5399932861328,155.6939926147461,0.10000000000000009,4269.438978669651,TP
NTAP,2018-04-03,2018-04-10,59.36000061035156,65.29600067138672,0.10000000000000009,4216.250274559368,TP
NTAP,2018-04-04,2018-04-12,60.7400016784668,66.81400184631349,0.10000000000000009,1565.4609588455423,TP
SCHW,2018-04-04,2018-04-20,50.060001373291016,55.06600151062012,0.10000000000000009,1565.4609588455398,TP
