move,rvol,distance,dev_events,oos_events,dev_alpha_20d,oos_alpha_20d,dev_mean_20d,oos_mean_20d
0.02,3.0,0.01,12,1,-0.01353656335478087,0.010740458339754469,0.03080427845039845,0.07677488634437024
0.02,3.0,0.03,12,1,-0.01353656335478087,0.010740458339754469,0.03080427845039845,0.07677488634437024
0.02,3.0,0.05,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.02,3.0,0.075,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.02,3.0,0.1,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.025,1.5,0.01,59,13,-0.024860252486933562,0.029345581374185067,0.019480589318245756,0.09538000937880084
0.025,1.5,0.03,65,15,-0.025817564354481175,0.005259230539790771,0.018523277450698143,0.07129365854440654
0.025,1.5,0.05,71,15,-0.02193294624907858,0.005259230539790771,0.02240789555610074,0.07129365854440654
0.025,1.5,0.075,74,16,-0.027463480762279415,0.005363582791400909,0.016877361042899903,0.07139801079601668
0.025,1.5,0.1,76,18,-0.026619161837659586,-0.002268949372324233,0.01772167996751973,0.06376547863229154
0.025,2.0,0.01,26,4,-0.0035958840766458014,0.12508622874454772,0.04074495772853352,0.1911206567491635
0.025,2.0,0.03,27,4,-0.015554208043658712,0.12508622874454772,0.028786633761520606,0.1911206567491635
0.025,2.0,0.05,30,4,-0.007366646565620999,0.12508622874454772,0.03697419523955832,0.1911206567491635
0.025,2.0,0.075,31,5,-0.006348609325899583,0.10145475630874885,0.037992232479279735,0.16748918431336463
0.025,2.0,0.1,31,5,-0.006348609325899583,0.10145475630874885,0.037992232479279735,0.16748918431336463
0.025,2.5,0.01,15,1,-0.007011331103574818,0.010740458339754469,0.0373295107016045,0.07677488634437024
0.025,2.5,0.03,15,1,-0.007011331103574818,0.010740458339754469,0.0373295107016045,0.07677488634437024
0.025,2.5,0.05,17,1,0.0045974211469091,0.010740458339754469,0.04893826295208842,0.07677488634437024
0.025,2.5,0.075,18,1,0.005686037075733209,0.010740458339754469,0.05002687888091253,0.07677488634437024
0.025,2.5,0.1,18,1,0.005686037075733209,0.010740458339754469,0.05002687888091253,0.07677488634437024
0.025,3.0,0.01,12,1,-0.01353656335478087,0.010740458339754469,0.03080427845039845,0.07677488634437024
0.025,3.0,0.03,12,1,-0.01353656335478087,0.010740458339754469,0.03080427845039845,0.07677488634437024
0.025,3.0,0.05,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.025,3.0,0.075,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.025,3.0,0.1,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.03,1.5,0.01,54,11,-0.023089611804918603,0.053505399465528694,0.021251230000260714,0.11953982747014447
0.03,1.5,0.03,60,12,-0.02430376372963002,0.02919904781862287,0.0200370780755493,0.09523347582323864
0.03,1.5,0.05,65,12,-0.02318791163816793,0.02919904781862287,0.021152930167011388,0.09523347582323864
0.03,1.5,0.075,67,13,-0.02728150743773856,0.027485956953002114,0.017059334367440757,0.09352038495761789
0.03,1.5,0.1,68,15,-0.026675956838871768,0.015377268468318439,0.01766488496630755,0.08141169647293421
0.03,2.0,0.01,24,4,-0.007222635905141883,0.12508622874454772,0.037118205900037435,0.1911206567491635
0.03,2.0,0.03,25,4,-0.019992555716375985,0.12508622874454772,0.024348286088803333,0.1911206567491635
0.03,2.0,0.05,27,4,-0.017434837213298377,0.12508622874454772,0.02690600459188094,0.1911206567491635
0.03,2.0,0.075,28,5,-0.015948146317618327,0.10145475630874885,0.02839269548756099,0.16748918431336463
0.03,2.0,0.1,28,5,-0.015948146317618327,0.10145475630874885,0.02839269548756099,0.16748918431336463
0.03,2.5,0.01,15,1,-0.007011331103574818,0.010740458339754469,0.0373295107016045,0.07677488634437024
0.03,2.5,0.03,15,1,-0.007011331103574818,0.010740458339754469,0.0373295107016045,0.07677488634437024
0.03,2.5,0.05,16,1,-0.005733423285147331,0.010740458339754469,0.03860741852003199,0.07677488634437024
0.03,2.5,0.075,17,1,-0.003973074393918481,0.010740458339754469,0.04036776741126084,0.07677488634437024
0.03,2.5,0.1,17,1,-0.003973074393918481,0.010740458339754469,0.04036776741126084,0.07677488634437024
0.03,3.0,0.01,12,1,-0.01353656335478087,0.010740458339754469,0.03080427845039845,0.07677488634437024
0.03,3.0,0.03,12,1,-0.01353656335478087,0.010740458339754469,0.03080427845039845,0.07677488634437024
0.03,3.0,0.05,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.03,3.0,0.075,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.03,3.0,0.1,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
