move,rvol,distance,dev_events,oos_events,dev_alpha_20d,oos_alpha_20d,dev_mean_20d,oos_mean_20d
0.015,1.5,0.01,69,14,-0.03314089118654208,0.04445847603109693,0.011199950618637237,0.1104929040357127
0.015,1.5,0.03,78,16,-0.030696534098993915,0.01998841029173827,0.013644307706185405,0.08602283829635404
0.015,1.5,0.05,86,16,-0.028249239285555155,0.01998841029173827,0.016091602519624163,0.08602283829635404
0.015,1.5,0.075,92,17,-0.03297068026385651,0.019220201837256812,0.011370161541322811,0.08525462984187258
0.015,1.5,0.1,94,19,-0.032170864973704784,0.010530790414163951,0.012169976831474532,0.07656521841877972
0.015,2.0,0.01,30,5,-0.013882810870910797,0.14825420430982839,0.03045803093426852,0.21428863231444417
0.015,2.0,0.03,32,5,-0.022847876716354826,0.14825420430982839,0.021492965088824492,0.21428863231444417
0.015,2.0,0.05,35,5,-0.015204795277519972,0.14825420430982839,0.029136046527659346,0.21428863231444417
0.015,2.0,0.075,38,6,-0.013587004845369222,0.12469998135244921,0.030753836959810096,0.19073440935706498
0.015,2.0,0.1,38,6,-0.013587004845369222,0.12469998135244921,0.030753836959810096,0.19073440935706498
0.015,2.5,0.01,15,1,-0.007011331103574818,0.010740458339754469,0.0373295107016045,0.07677488634437024
0.015,2.5,0.03,15,1,-0.007011331103574818,0.010740458339754469,0.0373295107016045,0.07677488634437024
0.015,2.5,0.05,17,1,0.0045974211469091,0.010740458339754469,0.04893826295208842,0.07677488634437024
0.015,2.5,0.075,19,1,0.0019186414170756366,0.010740458339754469,0.046259483222254955,0.07677488634437024
0.015,2.5,0.1,19,1,0.0019186414170756366,0.010740458339754469,0.046259483222254955,0.07677488634437024
0.015,3.0,0.01,12,1,-0.01353656335478087,0.010740458339754469,0.03080427845039845,0.07677488634437024
0.015,3.0,0.03,12,1,-0.01353656335478087,0.010740458339754469,0.03080427845039845,0.07677488634437024
0.015,3.0,0.05,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.015,3.0,0.075,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.015,3.0,0.1,13,1,-0.011461812789700418,0.010740458339754469,0.0328790290154789,0.07677488634437024
0.02,1.5,0.01,62,13,-0.03152472383495661,0.029345581374185067,0.012816117970222706,0.09538000937880084
0.02,1.5,0.03,68,15,-0.03185175976587509,0.005259230539790771,0.012489082039304225,0.07129365854440654
0.02,1.5,0.05,75,15,-0.027061810925557206,0.005259230539790771,0.017279030879622112,0.07129365854440654
0.02,1.5,0.075,80,16,-0.03209511680868856,0.005363582791400909,0.01224572499649076,0.07139801079601668
0.02,1.5,0.1,82,18,-0.031199610584738247,-0.002268949372324233,0.01314123122044107,0.06376547863229154
0.02,2.0,0.01,26,4,-0.0035958840766458014,0.12508622874454772,0.04074495772853352,0.1911206567491635
0.02,2.0,0.03,27,4,-0.015554208043658712,0.12508622874454772,0.028786633761520606,0.1911206567491635
0.02,2.0,0.05,30,4,-0.007366646565620999,0.12508622874454772,0.03697419523955832,0.1911206567491635
0.02,2.0,0.075,32,5,-0.004351352060646893,0.10145475630874885,0.039989489744532425,0.16748918431336463
0.02,2.0,0.1,32,5,-0.004351352060646893,0.10145475630874885,0.039989489744532425,0.16748918431336463
0.02,2.5,0.01,15,1,-0.007011331103574818,0.010740458339754469,0.0373295107016045,0.07677488634437024
0.02,2.5,0.03,15,1,-0.007011331103574818,0.010740458339754469,0.0373295107016045,0.07677488634437024
0.02,2.5,0.05,17,1,0.0045974211469091,0.010740458339754469,0.04893826295208842,0.07677488634437024
0.02,2.5,0.075,18,1,0.005686037075733209,0.010740458339754469,0.05002687888091253,0.07677488634437024
0.02,2.5,0.1,18,1,0.005686037075733209,0.010740458339754469,0.05002687888091253,0.07677488634437024
