symbol,entry_date,exit_date,entry_price,exit_price,shares,return_pct,pnl,exit_reason
NVDA,2015-02-13,2015-03-16,0.5562499761581421,0.5720000267028809,179775.28860436296,0.02831469882213722,2831.469882213716,TIME
GOOGL,2015-03-25,2015-03-26,28.87849998474121,28.300929985046388,3560.8314121767994,-0.020000000000000018,-2056.6293976442716,SL
GOOGL,2015-04-27,2015-04-28,28.638500213623047,28.065730209350587,1172.9529564846869,-0.020000000000000018,-671.8322698971286,SL
AMZN,2015-04-27,2015-04-28,22.19300079345703,21.74914077758789,1513.6129542589847,-0.020000000000000018,-671.832269897131,SL
MSFT,2015-04-27,2015-05-06,47.22999954223633,46.2853995513916,711.2346775446514,-0.020000000000000018,-671.8322698971316,SL
GOOGL,2015-07-15,2015-07-17,29.187000274658203,30.646350288391115,3383.6757030706744,0.050000000000000044,4937.96718374391,TP
GOOGL,2015-07-17,2015-07-24,34.0,33.32,3049.9209076065285,-0.020000000000000018,-2073.9462171724385,SL
AMZN,2015-07-27,2015-08-12,26.387500762939453,25.859750747680664,3851.1932431349032,-0.020000000000000018,-2032.4672928289906,SL
GOOGL,2015-10-26,2015-11-04,36.000999450683594,37.801049423217776,922.1123382518527,0.050000000000000044,1659.8482891436784,TP
AMZN,2015-10-26,2015-11-04,30.114999771118164,31.620749759674073,1102.3398982294236,0.050000000000000044,1659.8482891436763,TP
NVDA,2015-11-09,2015-11-10,0.781000018119812,0.7653800177574157,89262.0057959329,-0.02000000000000013,-1394.2725628806927,SL
MSFT,2015-10-26,2015-11-23,52.529998779296875,54.25,631.9620512909112,0.032743218364227555,1086.9754996584181,TIME
NVDA,2016-02-19,2016-02-22,0.746999979019165,0.7843499779701233,137353.81492032573,0.050000000000000044,5130.1648431842805,TP
AMZN,2016-05-02,2016-05-10,33.19599914550781,34.8557991027832,3245.3748789015954,0.050000000000000044,5386.673085343489,TP
NVDA,2016-05-16,2016-05-18,1.0167499780654907,1.0675874769687652,111256.58936077902,0.050000000000000044,5656.006739610664,TP
AAPL,2016-07-28,2016-08-08,25.707500457763672,26.992875480651858,5.660571805600093e-13,0.050000000000000044,7.275957614183438e-13,TP
