holding_days,daily_drag,dev_sharpe,oos_sharpe,dev_max_dd,oos_max_dd,both_positive
5,0.0004198412698412699,-0.9195815160291271,-0.5477602321573585,-0.49895888389543797,-0.27932822601042084,False
10,0.00021984126984126985,-0.3626616500254866,-0.1791719782206925,-0.22895683134872558,-0.14765381438841585,False
15,0.00015317460317460318,-0.1467861684096913,0.309095427972868,-0.17541719111807053,-0.11000264784312064,False
20,0.00011984126984126985,-0.1111101264483368,0.36033291605682216,-0.15314407995115398,-0.08931818518206358,False
30,8.650793650793651e-05,0.12726935546454918,0.21563574950994818,-0.11680184764429924,-0.09211177785558267,True
40,6.984126984126984e-05,0.21267279787919185,0.5300181269540285,-0.09634373453114675,-0.06599258298907174,True
60,5.3174603174603176e-05,0.16858595767008358,0.6081254748667823,-0.08548785291944894,-0.05694458775947031,True
