fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-12-31,2010-02-23,2014000000,6229000000,0.32332637662546154
2009-12-31,2010-02-23,2205000000,7191000000,0.30663329161451813
2010-12-31,2011-02-23,1420000000,6567000000,0.21623267854423633
2011-12-31,2012-02-23,2224000000,6585000000,0.3377372817008352
2012-12-31,2013-02-21,2326000000,6938000000,0.33525511674834246
2013-12-31,2014-02-21,2012000000,8463000000,0.23774075386978613
2014-12-31,2015-02-26,2497000000,8120000000,0.307512315270936
2015-12-31,2016-02-26,968000000,8846000000,0.1094279900520009
2016-12-31,2017-02-23,4965000000,8290000000,0.5989143546441495
2017-12-31,2018-02-23,717000000,9124000000,0.0785839544059623
2018-03-31,2019-02-21,389000000,9068000000,0.04289810322011469
2018-06-30,2019-02-21,343000000,8842000000,0.03879212847771997
2018-09-30,2019-02-21,544000000,9107000000,0.05973427034149555
2018-12-31,2019-02-21,1624000000,7794000000,0.2083654092891968
2019-03-31,2020-03-17,342000000,7570000000,0.04517833553500661
2019-06-30,2020-03-17,655000000,7779000000,0.08420105412006684
2019-12-31,2020-03-17,1001000000,7882000000,0.1269982238010657
2020-12-31,2021-02-11,1102000000,8689000000,0.12682702267234433
2021-12-31,2022-02-23,1284000000,9077000000,0.1414564283353531
2022-12-31,2023-02-09,-2433000000,5833000000,-0.4171095491170924
2023-12-31,2024-02-08,2656000000,8402000000,0.31611521066412757
2024-12-31,2025-02-21,-649000000,6964000000,-0.09319356691556577
2025-12-31,2026-02-12,-957000000,6129000000,-0.1561429270680372
