fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-12-28,2011-02-28,39416000,798667000,0.049352233158500354
2010-01-03,2011-02-28,72281000,864248000,0.08363455859892067
2011-01-02,2011-02-28,124891000,1197675000,0.10427787170977101
2012-01-01,2012-02-24,86628000,1075215000,0.08056807243202523
2012-12-30,2013-02-15,151254000,1318581000,0.11470967653864268
2013-12-29,2014-02-18,125308000,1533202000,0.08172960901433732
2014-12-28,2015-02-18,353351000,1462798000,0.24155830128288389
2016-01-03,2016-03-02,461559000,1848553000,0.2496866467988746
2017-01-01,2017-02-14,462649000,2197229000,0.21056021015560963
2017-12-31,2018-02-13,726000000,2749000000,0.26409603492178974
2018-12-30,2019-02-12,826000000,3758000000,0.2197977647684939
2019-12-29,2020-02-11,1002000000,4613000000,0.2172122263169304
2021-01-03,2021-02-17,656000000,4694000000,0.13975287601193012
2022-01-02,2022-02-18,762000000,10740000000,0.07094972067039106
2023-01-01,2024-02-16,-4404000000,6599000000,-0.6673738445218973
2023-12-31,2024-02-16,-1161000000,5745000000,-0.202088772845953
2024-12-29,2025-02-12,-1223000000,2373000000,-0.5153813737884534
2025-12-28,2026-02-12,850000000,2723000000,0.31215571061329417
