fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-09-30,2009-11-25,1126996000,4935568000,0.22834170251529307
2009-09-30,2009-11-25,1231603000,5142712000,0.23948511991338423
2012-09-30,2014-11-26,1170000000,4135889000,0.28288960366199384
2013-09-30,2014-11-26,1293000000,5043000000,0.25639500297441997
2014-09-30,2014-11-26,1185000000,5053000000,0.23451415000989512
2015-09-30,2015-11-25,695000000,7164000000,0.09701284198771636
2016-09-30,2016-11-23,976000000,7633000000,0.1278658456701166
2017-09-30,2017-11-22,1100000000,12948000000,0.08495520543713314
2018-09-30,2018-11-21,311000000,20994000000,0.014813756311327047
2019-09-30,2019-11-27,1233000000,21081000000,0.05848868649494806
2020-09-30,2020-11-25,874000000,23765000000,0.036776772564695984
2021-09-30,2021-11-24,2092000000,23677000000,0.08835578831777674
2022-09-30,2022-11-22,1779000000,25282000000,0.07036626849141682
2023-09-30,2023-11-21,1484000000,25796000000,0.057528298961079236
2024-09-30,2024-11-27,1705000000,25890000000,0.06585554268057164
2025-09-30,2025-11-25,1678000000,25390000000,0.06608901142181961
