fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-01-27,2010-03-18,797645000,2617912000,0.3046874761260119
2009-01-25,2010-03-18,-30041000,2394652000,-0.01254503785936328
2010-01-31,2010-03-18,-67987000,2665140000,-0.025509729320035722
2011-01-30,2011-03-16,253146000,3181462000,0.07956907861857222
2012-01-29,2012-03-13,581090000,4145724000,0.14016610850119304
2013-01-27,2013-03-12,562536000,4827703000,0.1165224952736322
2014-01-26,2014-03-13,439990000,4456398000,0.09873220479858397
2015-01-25,2015-03-12,630587000,4417982000,0.14273190791632923
2016-01-31,2016-03-17,614000000,4469000000,0.13739091519355562
2017-01-29,2017-03-01,1666000000,5762000000,0.28913571676501215
2018-01-28,2018-02-28,3047000000,7471000000,0.4078436621603534
2019-01-27,2019-02-21,4141000000,9342000000,0.44326696638835367
2020-01-26,2020-02-20,2796000000,12204000000,0.22910521140609635
2021-01-31,2021-02-26,4332000000,16893000000,0.2564375776949032
2022-01-30,2022-03-18,9752000000,26612000000,0.3664512250112731
2023-01-29,2023-02-24,4368000000,22101000000,0.19763811592235644
2024-01-28,2024-02-21,29760000000,42978000000,0.6924472986178976
2025-01-26,2025-02-26,72880000000,79327000000,0.9187288060811577
2026-01-25,2026-02-25,120067000000,157293000000,0.7633333969089534
