fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2013-12-31,2016-02-11,12733000000,86977000000,0.14639502397185464
2014-12-31,2016-02-11,14136000000,103860000000,0.13610629693818602
2015-12-31,2016-02-11,16348000000,120331000000,0.13585859005576287
2016-12-31,2017-02-03,19478000000,139036000000,0.140093213268506
2017-12-31,2018-02-06,12662000000,152502000000,0.08302841929941902
2018-12-31,2019-02-05,30736000000,177628000000,0.17303578264688
2019-12-31,2020-02-04,34343000000,201442000000,0.17048579740074066
2020-12-31,2021-02-03,40269000000,222544000000,0.18094848659141563
2021-12-31,2022-02-02,76033000000,251635000000,0.30215590041131
2022-12-31,2023-02-03,59972000000,256144000000,0.2341339246673746
2023-12-31,2024-01-31,73795000000,283379000000,0.26041096905557576
2024-12-31,2025-02-05,100118000000,325084000000,0.30797578472025694
2025-12-31,2026-02-05,132170000000,415265000000,0.3182786895115167
