fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-12-31,2011-02-22,-5396000000,-2321000000,2.324859974149074
2009-12-31,2011-02-22,-651000000,-2811000000,0.23159018143009605
2010-12-31,2011-02-22,253000000,1727000000,0.1464968152866242
2011-12-31,2012-02-22,840000000,1806000000,0.46511627906976744
2012-12-31,2013-02-25,-723000000,481000000,-1.503118503118503
2013-12-31,2014-02-20,571000000,2984000000,0.1913538873994638
2014-12-31,2015-02-20,1132000000,2396000000,0.4724540901502504
2015-12-31,2016-02-18,7340000000,8966000000,0.8186482266339504
2016-12-31,2017-02-23,2263000000,8659000000,0.26134657581706894
2017-12-31,2018-02-22,2131000000,8806000000,0.2419940949352714
2018-12-31,2019-02-28,2129000000,9995000000,0.21300650325162582
2019-12-31,2020-02-25,3009000000,11531000000,0.26094874685630043
2020-12-31,2021-03-01,-7069000000,5960000000,-1.1860738255033556
2021-12-31,2022-02-18,-1964000000,5029000000,-0.39053489759395504
2022-12-31,2023-02-16,737000000,6896000000,0.10687354988399073
2023-12-31,2024-02-29,2618000000,9324000000,0.2807807807807808
2024-12-31,2025-02-27,3149000000,12675000000,0.24844181459566075
2025-12-31,2026-02-12,3353000000,15282000000,0.21940845439078654
