fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2009-12-31,2011-02-28,1231092000,8613360000,0.1429281952687453
2010-12-31,2011-02-28,1250242000,8496400000,0.14714961630808343
2011-12-31,2012-02-28,1346439000,8961270000,0.15025091309602323
2012-12-31,2013-02-27,846673000,9197089000,0.09205880251892745
2013-12-31,2014-02-27,711902000,9632466000,0.07390651573543057
2014-12-31,2015-02-26,940721000,10007725000,0.0939994853975304
2015-12-31,2016-02-26,-176562000,9256791000,-0.019073780535824997
2016-12-31,2017-02-24,-583618000,8081809000,-0.07221378283005699
2017-12-31,2018-02-26,411612000,7992515000,0.05149968439220946
2018-12-31,2019-02-26,848661000,8844305000,0.09595564603436901
2019-12-31,2020-02-21,1241226000,10223675000,0.12140702829462008
2020-12-31,2021-02-26,1388334000,10926142000,0.1270653447484025
2021-12-31,2022-02-25,1118492000,11637284000,0.09611280432788269
2022-12-31,2023-02-24,1103166000,12966985000,0.08507498080702645
2023-12-31,2024-02-23,2356536000,14622647000,0.16115659497216886
