fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-02-02,2010-03-19,1084000000,6102000000,0.17764667322189445
2009-01-31,2010-03-19,885000000,6739000000,0.13132512242172428
2010-01-30,2010-03-19,991000000,7853000000,0.1261938112823125
2011-01-29,2011-03-18,1114000000,8102000000,0.13749691434213773
2012-01-28,2012-03-16,1167000000,6508000000,0.17931776275353412
2013-02-02,2013-03-22,986000000,6048000000,0.16302910052910052
2014-02-01,2014-03-21,889000000,5978000000,0.148711943793911
2015-01-31,2015-03-20,867000000,5991000000,0.14471707561342012
2016-01-30,2016-03-18,673000000,5491000000,0.12256419595702057
2017-01-28,2017-03-17,556000000,5177000000,0.10739810701178289
2018-02-03,2018-03-23,859000000,5426000000,0.15831183192038334
2019-02-02,2019-03-22,801000000,5527000000,0.14492491405825944
2020-02-01,2020-03-18,691000000,5450000000,0.12678899082568806
2021-01-30,2021-03-18,-163000000,5196000000,-0.03137028483448807
2022-01-29,2022-03-17,938000000,4661000000,0.20124436816133875
2023-01-28,2023-03-16,-19000000,3763000000,-0.005049162901939941
2024-02-03,2024-03-21,317000000,3893000000,0.08142820446956076
2025-02-01,2025-03-20,109000000,3802000000,0.02866912151499211
2026-01-31,2026-03-19,272000000,4048000000,0.06719367588932806
