fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2007-12-31,2010-02-26,395000000,1811000000,0.21811154058531199
2008-12-31,2010-02-26,446000000,2022000000,0.2205736894164194
2009-12-31,2010-02-26,372000000,2639000000,0.140962485790072
2010-12-31,2012-02-29,442000000,3198000000,0.13821138211382114
2011-12-31,2012-02-29,1357000000,4222000000,0.3214116532449076
2012-12-31,2013-02-27,417000000,4301000000,0.09695419669844223
2013-12-31,2014-02-26,311000000,4329000000,0.07184107184107184
2014-12-31,2015-02-26,611000000,4548000000,0.13434476693051892
2015-12-31,2016-02-26,-692000000,3461000000,-0.1999422132331696
2016-12-31,2017-02-28,432000000,3460000000,0.12485549132947976
2017-12-31,2018-02-22,1792000000,4688000000,0.3822525597269625
2018-12-31,2019-02-28,368000000,8058000000,0.045668900471581036
2019-12-31,2020-02-27,791000000,8359000000,0.0946285440842206
2020-12-31,2021-02-25,-773000000,8348000000,-0.09259702922855774
2021-12-31,2022-02-22,1486000000,9415000000,0.1578332448220924
2022-12-31,2023-02-17,1057000000,10042000000,0.10525791674965146
2023-12-31,2024-02-20,917000000,9667000000,0.09485879797248371
2024-12-31,2025-02-20,1019000000,10666000000,0.09553722107631726
2025-12-31,2026-02-19,1052000000,11153000000,0.09432439702322246
