fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2007-12-31,2010-01-29,645000000,6941000000,0.09292609134130529
2008-12-31,2010-01-29,178000000,4953000000,0.03593781546537452
2009-12-31,2010-01-29,99000000,5466000000,0.018111964873765093
2010-12-31,2011-02-08,459000000,6237000000,0.0735930735930736
2011-12-31,2012-02-09,178000000,6877000000,0.02588337938054384
2012-12-31,2013-02-07,421000000,6992000000,0.0602116704805492
2013-12-31,2014-02-04,754000000,7336000000,0.10278080697928026
2014-12-31,2015-02-06,1136000000,6775000000,0.16767527675276753
2015-12-31,2016-02-03,2181000000,7358000000,0.2964120684968741
2016-12-31,2017-02-07,2244000000,8441000000,0.2658452789953797
2017-12-31,2018-02-07,3488000000,10430000000,0.33441994247363377
2018-12-31,2019-02-05,2465000000,9853000000,0.25017761087993506
2019-12-31,2020-02-04,2300000000,9832000000,0.2339300244100895
2020-12-31,2021-02-08,-3074000000,8876000000,-0.3463271744028842
2021-12-31,2022-02-07,977000000,10414000000,0.09381601690032648
2022-12-31,2023-02-07,539000000,10687000000,0.05043510807523159
2023-12-31,2024-02-06,465000000,10515000000,0.0442225392296719
2024-12-31,2025-02-07,465000000,10350000000,0.04492753623188406
2025-12-31,2026-02-05,441000000,7981000000,0.05525623355469239
