fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2009-12-31,2011-03-01,20654000,3034338000,0.006806756531408169
2010-12-31,2011-03-01,160127000,2237948000,0.07155081351309324
2011-12-31,2012-02-29,613371000,2089022000,0.29361634295857103
2012-12-31,2013-03-01,502036000,-259037000,-1.938086064925088
2013-12-31,2014-02-28,728652000,-184507000,-3.949183499813015
2014-12-31,2015-03-02,731554000,-28779000,-25.41971576496751
2015-12-31,2016-02-29,195290000,-111979000,-1.7439877119817109
2016-12-31,2017-02-24,241975000,157949000,1.5319818422402167
2017-12-31,2018-02-28,747181000,947846000,0.788293667958719
2018-12-31,2019-02-28,572430000,2034123000,0.28141366082582026
2019-12-31,2020-02-28,122985000,1743045000,0.07055755875493748
2020-12-31,2021-02-26,-2067245000,-351997000,5.872905166805399
2021-12-31,2022-02-28,-755786000,-214418000,3.5248253411560597
2022-12-31,2023-02-27,-423856000,-750838000,0.5645105868376401
2023-12-31,2024-02-23,729994000,-251382000,-2.903923113031164
2024-12-31,2025-02-13,501078000,-224161000,-2.235348700264542
2025-12-31,2026-03-02,327334000,-275492000,-1.1881796930582376
