fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-12-31,2010-02-26,1418000000,8440000000,0.1680094786729858
2009-12-31,2010-02-26,285000000,8447000000,0.03373978927429857
2010-12-31,2011-02-25,-1097000000,7288000000,-0.15052140504939626
2011-12-31,2012-02-28,376000000,1793000000,0.20970440602342444
2012-12-31,2013-02-27,859000000,4752000000,0.18076599326599327
2013-12-31,2014-02-26,430000000,4864000000,0.0884046052631579
2014-12-31,2015-02-25,2114000000,8777000000,0.2408567847783981
2015-12-31,2016-02-26,-571000000,6148000000,-0.09287573194534808
2016-12-31,2017-02-22,-424000000,4643000000,-0.09132026706870558
2017-12-31,2018-02-22,2174000000,9656000000,0.2251449875724938
2018-12-31,2019-02-21,-155000000,14660000000,-0.010572987721691678
2019-12-31,2020-02-24,850000000,13363000000,0.0636084711516875
2020-12-31,2021-02-24,211000000,11769000000,0.017928456113518565
2021-12-31,2022-02-28,1517000000,11423000000,0.1328022410925326
2022-12-31,2023-02-27,2049000000,11485000000,0.17840661732694818
2023-12-31,2024-02-21,3179000000,12402000000,0.25632962425415257
2024-12-31,2025-02-25,2225000000,12436000000,0.17891605017690576
2025-12-31,2026-02-24,2618000000,12807000000,0.20441945810884674
