fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2007-12-31,2010-02-26,726900000,4509100000,0.16120733627553172
2008-12-31,2010-02-26,794800000,6389400000,0.12439352677872727
2009-12-31,2010-02-26,864200000,6312100000,0.136911645886472
2010-12-31,2011-02-25,669500000,6830300000,0.0980191206828397
2011-12-31,2012-02-24,603600000,7117300000,0.08480744102398381
2012-12-31,2013-02-26,687300000,7527000000,0.09131127939418095
2013-12-31,2014-02-26,731300000,7912000000,0.09242922143579373
2014-12-31,2015-02-26,811800000,8448900000,0.09608351383020275
2015-12-31,2016-02-29,973800000,8705900000,0.11185517867193512
2016-12-31,2017-02-28,1032500000,9770400000,0.10567632850241546
2017-12-31,2018-02-27,1199000000,10216200000,0.11736262015230713
2018-12-31,2019-02-26,1556400000,10508300000,0.14811149281996136
2019-12-31,2020-02-25,1492200000,11091000000,0.13454152015147416
2020-12-31,2021-02-23,1209300000,11688300000,0.10346243679577014
2021-12-31,2022-02-28,1545300000,12016800000,0.1285949670461354
2022-12-31,2023-02-28,1336000000,11259500000,0.11865535769794396
2023-12-31,2024-02-27,1107300000,11897900000,0.09306684372872524
2024-12-31,2025-02-24,2031100000,12788400000,0.1588236214069
2025-12-31,2026-02-24,1736900000,12957900000,0.13404178146150225
