fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2021-12-31,2022-04-07,-9057163,4872277,-0.48,,3630938,-6714473,34217,-1.8589179145602763,,-6748690,,0.7452240502746457
2022-12-31,2023-03-30,-12091540,463705,-2.55,,5786774,-6337386,30842,-26.07593189635652,,-6368228,,12.479429809900692
2023-12-31,2024-04-01,-7637642,3753441,-1.07,,3978434,-7852546,4710,-2.0348373665657724,,-7857256,,1.059943129517688
2024-12-31,2025-03-31,-12544593,3027405,-11.36,,5410980,-8919422,14666,-4.14367849693054,,-8934088,,1.7873327156426049
2025-12-31,2026-03-31,-8325099,8726868,-2.67,,2350102,-5685150,46069,-0.9539618337300392,,-5731219,,0.26929500938939377
