fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2009-12-31,2011-03-01,-1216111000,5692658000,-0.21362797484057536
2010-12-31,2011-03-01,-292728000,6648279000,-0.04403064311831679
2011-12-31,2012-02-29,323804000,6985308000,0.0463550068228917
2012-12-31,2013-02-28,349516000,6052069000,0.05775148961454339
2013-12-31,2014-03-03,263791000,6464563000,0.04080569715230558
2018-12-31,2021-02-25,884000000,7578000000,0.11665347057271047
2019-12-31,2021-02-25,816000000,7353000000,0.1109751121991024
2020-12-31,2021-02-25,539000000,7886000000,0.06834897286330205
2021-12-31,2022-02-25,1129000000,7463000000,0.1512796462548573
2022-12-31,2023-02-23,907000000,4893000000,0.18536685060290212
2023-12-31,2024-02-23,680000000,5691000000,0.11948690915480584
2024-12-31,2025-02-25,784000000,6124000000,0.1280209013716525
2025-12-31,2026-02-24,899000000,7180000000,0.12520891364902506
