fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2010-12-31,2011-02-22,5069500000,12420300000,0.4081624437412945
2011-12-31,2012-02-24,4347700000,13541700000,0.3210601327750578
2012-12-31,2013-02-21,4088600000,14765200000,0.27690786443800286
2013-12-31,2014-02-19,4684800000,17631400000,0.2657077713624556
2014-12-31,2015-02-19,2390500000,15373200000,0.15549787942653448
2015-12-31,2016-02-19,2408400000,14571300000,0.165283811327747
2016-12-31,2017-02-21,2737600000,14007700000,0.1954353676906273
2017-12-31,2018-02-20,-204100000,11592200000,-0.017606666551646798
2018-12-31,2019-02-19,3232000000,9828700000,0.32883290770905615
2019-12-31,2020-02-19,8318400000,2606900000,3.190916414131727
2020-12-31,2021-02-17,6193700000,5641600000,1.0978623085649462
2021-12-31,2022-02-23,5581700000,8979200000,0.6216255345687812
2022-12-31,2023-02-22,6244800000,10649800000,0.5863772089616707
2023-12-31,2024-02-21,5240400000,10771900000,0.4864879919048636
2024-12-31,2025-02-19,10590000000,14192100000,0.7461897816390809
2025-12-31,2026-02-12,20640000000,26535000000,0.7778405879027699
