fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2020-12-31,2022-03-31,150955,-958008,0.01,,10960985,745748.0,27170.0,-0.15757175305425425,,718578.0,,
2021-12-31,2022-03-31,-338156,-558952,-0.02,,9682115,766300.0,36153.0,0.6049821809386137,,730147.0,,
2022-12-31,2023-03-31,-6677466,4807629,-0.37,,7330959,-4808547.0,57071.0,-1.3889312174462713,,-4865618.0,,1.5248595513505723
2023-12-31,2024-04-09,-4189890,5165296,-0.21,,11956953,-4331209.0,526260.0,-0.8111616449473563,,-4857469.0,,2.314863078514765
2024-12-31,2025-03-31,-1481374,4653497,-0.07,,10503019,-4774971.0,7446.0,-0.3183356516615354,,-4782417.0,,2.2570163900395768
2025-12-31,2026-03-31,5793884,8780123,0.22,,5778626,,,0.6598864275591584,,,,0.6581486386921914
