fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2009-10-31,2009-12-17,7660000000,40517000000,0.1890564454426537
2010-10-31,2010-12-15,8761000000,40449000000,0.21659373532102152
2011-10-31,2011-12-14,7074000000,38625000000,0.18314563106796117
2014-10-31,2016-12-15,5013000000,26731000000,0.1875350716396693
2015-10-31,2016-12-15,4554000000,27768000000,0.16400172860847018
2016-10-31,2016-12-15,2496000000,-3889000000,-0.6418102339933145
2017-10-31,2018-12-13,2526000000,-3408000000,-0.7411971830985915
2018-10-31,2018-12-13,5327000000,-639000000,-8.336463223787167
2019-10-31,2019-12-12,3152000000,-1193000000,-2.642078792958927
2020-10-31,2020-12-10,2844000000,-2228000000,-1.2764811490125674
2021-10-31,2021-12-09,6503000000,-1650000000,-3.9412121212121214
2022-10-31,2022-12-06,3203000000,-2918000000,-1.0976696367374914
2023-10-31,2023-12-18,3263000000,-1069000000,-3.0523854069223573
2024-10-31,2024-12-13,2775000000,-1323000000,-2.0975056689342404
2025-10-31,2025-12-10,2529000000,-346000000,-7.309248554913295
