Symbol,Name,Sector
AAMC,Altisource Asset Management Corp Com,Finance
ACU,Acme United Corporation. Common Stock,Consumer Discretionary
ADRT,Ault Disruptive Technologies Corporation Common Stock,Finance
AE,Adams Resources & Energy Inc. Common Stock,Energy
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,Finance
AEON,AEON Biopharma Inc. Class A Common Stock,Health Care
AIM,AIM ImmunoTech Inc. Common Stock,Health Care
AINC,Ashford Inc. (Holding Company) Common Stock,Consumer Discretionary
AIRI,Air Industries Group Common Stock,Industrials
AMBI,Ambipar Emergency Response Class A Ordinary Shares,Industrials
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),Real Estate
AMS,American Shared Hospital Services Common Stock,Health Care
APT,Alpha Pro Tech Ltd. Common Stock,
AREN,The Arena Group Holdings Inc. Common Stock,Technology
ARMN,Aris Mining Corporation Common Shares,
ARMP,Armata Pharmaceuticals Inc. Common Stock,Health Care
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),Basic Materials
ASXC,Asensus Surgical Inc. Common Stock,Health Care
ATCH,AtlasClear Holdings Inc. Common Stock,Finance
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,Finance
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,Health Care
AULT,Ault Alliance Inc. Common Stock,Technology
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,
AUMN,Golden Minerals Company Common Stock,Basic Materials
AUST,Austin Gold Corp. Common Shares,
AWX,Avalon Holdings Corporation Common Stock,Utilities
AXIL,AXIL Brands Inc. Common Stock,Consumer Discretionary
AZTR,Azitra Inc Common Stock,Health Care
BACA,Berenson Acquisition Corp. I Class A Common Stock,Finance
BATL,Battalion Oil Corporation Common Stock,Energy
BCV,Bancroft Fund Ltd.,Finance
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,
BDL,Flanigan's Enterprises Inc. Common Stock,Consumer Discretionary
BEEP,Mobile Infrastructure Corporation Common Stock,Finance
BGI,Birks Group Inc. Common Stock,
BHB,Bar Harbor Bankshares Inc. Common Stock,Finance
BHM,Bluerock Homes Trust Inc. Class A Common Stock,Real Estate
BITE,Bite Acquisition Corp. Common Stock,Finance
BKTI,BK Technologies Corporation Common Stock,Technology
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,Finance
BMTX,BM Technologies Inc. Common Stock,Finance
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,Consumer Discretionary
BRBS,Blue Ridge Bankshares Inc. Common Stock,Finance
BRN,Barnwell Industries Inc. Common Stock,Energy
BTG,B2Gold Corp Common shares (Canada),
BTTR,Better Choice Company Inc. Common Stock,Consumer Staples
BURU,Nuburu Inc. Common Stock,Miscellaneous
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),Health Care
CATX,Perspective Therapeutics Inc. Common Stock,Health Care
CCEL,Cryo-Cell International Inc. Common Stock,Health Care
CEI,Camber Energy Inc. Common Stock,Energy
CET,Central Securities Corporation Common Stock,Finance
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,Finance
CHAA,Catcha Investment Corp. Class A Ordinary Shares,Finance
CHRO,Chromocell Therapeutics Corporation Common Stock,Health Care
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,Finance
CIX,CompX International Inc. Common Stock,Consumer Discretionary
CKX,CKX Lands Inc. Common Stock,Energy
CLDI,Calidi Biotherapeutics Inc. Common Stock,Health Care
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,Finance
CMCL,Caledonia Mining Corporation Plc Common Shares,Basic Materials
CMT,Core Molding Technologies Inc Common Stock,Industrials
CNDA,Concord Acquisition Corp II Class A Common Stock,Finance
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,Real Estate
COHN,Cohen & Company Inc.,Finance
CPHI,China Pharma Holdings Inc. Common Stock,Health Care
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,Finance
CTGO,Contango ORE Inc. Common Stock,Basic Materials
CTM,Castellum Inc. Common Stock,Consumer Discretionary
CVM,Cel-Sci Corporation Common Stock,Health Care
CVR,Chicago Rivet & Machine Co. Common Stock,Industrials
CVU,CPI Aerostructures Inc. Common Stock,Industrials
CYBN,Cybin Inc. Common Shares,Health Care
DC,Dakota Gold Corp. Common Stock,Basic Materials
DDC,DDC Enterprise Limited Class A Ordinary Shares,Consumer Staples
DHY,Credit Suisse High Yield Bond Fund Common Stock,Finance
DIT,AMCON Distributing Company Common Stock,Consumer Discretionary
DLA,Delta Apparel Inc. Common Stock,Consumer Staples
DMF,BNY Mellon Municipal Income Inc. Common Stock,Finance
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,Finance
DNN,Denison Mines Corp Ordinary Shares (Canada),Basic Materials
DPSI,DecisionPoint Systems Inc. Common Stock,Technology
DSS,DSS Inc. Common Stock,Consumer Discretionary
DXF,Dunxin Financial Holdings Limited American Depositary Shares,Finance
