ticker,company_name,kind,description
PFXNZ,PhenixFIN Corporation  5.25% Notes due 2028,VOLUME,Volume is 8.7x 20-day average
PINC,Premier Inc. Class A Common Stock,VOLUME,Volume is 9.0x 20-day average
QNRX,Quoin Pharmaceuticals Ltd. American Depositary Shares,PRICE_MOVE,Daily close change: 18.72%
QNRX,Quoin Pharmaceuticals Ltd. American Depositary Shares,VOLUME,Volume is 1281.1x 20-day average
RDIB,Reading International Inc Class B Common Stock,PRICE_MOVE,Daily close change: 18.90%
RNWWW,ReNew Energy Global plc Warrant,VOLUME,Volume is 7.7x 20-day average
RSVR,Reservoir Media Inc. Common Stock,VOLUME,Volume is 13.4x 20-day average
RUSHB,Rush Enterprises Inc. Class B,VOLUME,Volume is 13.7x 20-day average
SABS,SAB Biotherapeutics Inc. Common Stock,VOLUME,Volume is 6.7x 20-day average
SEIC,SEI Investments Company Common Stock,VOLUME,Volume is 5.1x 20-day average
SHEN,Shenandoah Telecommunications Co Common Stock,VOLUME,Volume is 14.1x 20-day average
SISI,Shineco Inc. Common Stock,PRICE_MOVE,Daily close change: 5400.00%
SISI,Shineco Inc. Common Stock,VOLUME,Volume is 24.6x 20-day average
SMSI,Smith Micro Software Inc. Common Stock,VOLUME,Volume is 9.4x 20-day average
SOHU,Sohu.com Limited American Depositary Shares,VOLUME,Volume is 14.1x 20-day average
SONM,Sonim Technologies Inc. Common Stock,PRICE_MOVE,Daily close change: 16.89%
SOTK,Sono-Tek Corporation Common Stock,VOLUME,Volume is 8.4x 20-day average
SOWG,Sow Good Inc. Common Stock,PRICE_MOVE,Daily close change: -18.46%
SSBI,Summit State Bank Common Stock,VOLUME,Volume is 6.2x 20-day average
STAA,STAAR Surgical Company Common Stock,VOLUME,Volume is 7.2x 20-day average
STBA,S&T Bancorp Inc. Common Stock,VOLUME,Volume is 5.8x 20-day average
STTK,Shattuck Labs Inc. Common Stock,VOLUME,Volume is 9.3x 20-day average
SWVL,Swvl Holdings Corp Class A Common Shares,PRICE_MOVE,Daily close change: 41.18%
TARA,Protara Therapeutics Inc.  Common Stock,VOLUME,Volume is 7.9x 20-day average
TCRT,Alaunos Therapeutics Inc. Common Stock,PRICE_MOVE,Daily close change: -25.00%
TCRT,Alaunos Therapeutics Inc. Common Stock,VOLUME,Volume is 42.3x 20-day average
TDUP,ThredUp Inc. Class A Common Stock,VOLUME,Volume is 5.1x 20-day average
TELO,Telomir Pharmaceuticals Inc. Common Stock,VOLUME,Volume is 9.2x 20-day average
THMO,ThermoGenesis Holdings Inc. Common Stock,VOLUME,Volume is 12.9x 20-day average
TLSI,TriSalus Life Sciences Inc. Common Stock,VOLUME,Volume is 5.5x 20-day average
TMCWW,TMC the metals company Inc. Warrants,PRICE_MOVE,Daily close change: -50.00%
TRUG,TruGolf Holdings Inc. Class A Common Stock,PRICE_MOVE,Daily close change: 29.69%
TRUG,TruGolf Holdings Inc. Class A Common Stock,VOLUME,Volume is 7.1x 20-day average
TRVN,Trevena Inc. Common Stock,PRICE_MOVE,Daily close change: 2700.00%
TSEM,Tower Semiconductor Ltd. Ordinary Shares,VOLUME,Volume is 6.9x 20-day average
TTD,The Trade Desk Inc. Class A Common Stock,VOLUME,Volume is 8.7x 20-day average
TTOO,T2 Biosystems Inc. Common Stock,PRICE_MOVE,Daily close change: 200.00%
UBCP,United Bancorp Inc. Common Stock,VOLUME,Volume is 7.1x 20-day average
