Symbol,Name,Sector
ABG.P.MC,Abengoa,
ABE.MC,Abertis Infraestructuras,
ANA.MC,Acciona,
ACS.MC,Actividades de Construcción y Servicios,
AMS.MC,Amadeus,
MTS.MC,Arcelor Mittal,
POP.MC,Banco Popular Español,
SAB.MC,Banco de Sabadell,
SAN.MC,Banco Santander,
BKIA.MC,Bankia,
BKT.MC,Bankinter,
BBVA.MC,Banco Bilbao Vizcaya Argentaria,
BME.MC,Bolsas y Mercados Españoles,
CABK.MC,CaixaBank,
DIA.MC,Distribuidora Internacional de Alimentación,
ENG.MC,Enagás,
ELE.MC,Endesa,
FCC.MC,Fomento de Construcciones y Contratas,
FER.MC,Ferrovial,
GAM.MC,Gamesa Corporación Tecnológica,
GAS.MC,Gas Natural SDG,
GRF.MC,Grifols,
IAG.MC,International Airlines Group,
IBE.MC,Iberdrola,
ITX.MC,Industria de Diseño Textil (inditex),
IDR.MC,Indra Sistemas,
JAZ.MC,Jazztel,
MAP.MC,MAPFRE,
TL5.MC,Mediaset España Comunicación,
OHL.MC,Obrascón Huarte Lain,
REE.MC,Red Eléctrica Corporación,
REP.MC,Repsol,
SCYR.MC,Sacyr,
TRE.MC,Técnicas Reunidas,
TEF.MC,Telefónica,
