Symbol,Name,Sector
1U1.DE,1&1 AG,Telecommunication
TGT.DE,11 88 0 SOLUTIONS AG,Telecommunication
UUU.DE,3U HOLDING AG,Industrial
VSC.DE,4SC AG,Pharma & Healthcare
YOU.DE,ABOUT YOU Holding SE,Retail
A4Y.DE,ACCENTRO REAL ESTATE AG  O.N.,Financial Services
APM.DE,"AD PEPPER MEDIA   EO 0,05",Media
ADN1.DE,ADESSO SE  INH O.N.,Software
ADS.DE,ADIDAS AG NA O.N.,Consumer
ADJ.DE,ADLER GROUP S.A.,Financial Services
QH9.DE,ADTRAN HOLDINGS INC.,Technology
AIR.DE,AIRBUS SE,Industrial
AIXA.DE,AIXTRON SE NA O.N.,Technology
A1OS.DE,ALL FOR ONE GROUP NA O.N.,Software
LNSX.DE,Allane SE,Financial Services
ALV.DE,ALLIANZ SE NA O.N.,Insurance
AOX.DE,ALSTRIA OFFICE REIT-AG,Financial Services
ACT.DE,ALZCHEM GROUP AG INH O.N.,Chemicals
AAD.DE,AMADEUS FIRE AG,Industrial
ART.DE,ARTNET AG NA O.N.,Retail
TLIK.DE,Arzneiwerk AG VIDA,Software
AOF.DE,ATOSS SOFTWARE SE,Software
AAG.DE,AUMANN AG  INH O.N.,Industrial
NDA.DE,AURUBIS AG,Basic Resources
AG1.DE,AUTO1 GROUP SE,Retail
BAS.DE,BASF SE NA O.N.,Chemicals
BSL.DE,BASLER AG O.N.,Industrial
BST.DE,BASTEI LUEBBE AG  O.N.,Media
BMW3.DE,BAY.MOTOREN WERKE  VZO,Automobile
BMW.DE,BAY.MOTOREN WERKE AG ST,Automobile
BAYN.DE,BAYER AG NA O.N.,Chemicals
BYW.DE,BAYWA AG NA O.N.,Industrial
BYW6.DE,BAYWA AG VINK.NA. O.N.,Industrial
BBZA.DE,"BB BIOTECH NAM.   SF 0,20",Pharma & Healthcare
BC8.DE,BECHTLE AG O.N.,Software
BFSA.DE,BEFESA S.A. ORD. O.N.,Industrial
BEI.DE,BEIERSDORF AG O.N.,Consumer
BDT.DE,BERTRANDT AG O.N.,Automobile
ACX.DE,BET-AT-HOME.COM AG O.N.,Retail
BIKE.DE,BIKE24 HOLDING AG,Retail
GBF.DE,BILFINGER SE O.N.,Industrial
B8F.DE,BIOFRONTERA AG NA O.N.,Pharma & Healthcare
BIO.DE,BIOTEST AG ST O.N.,Pharma & Healthcare
BIO3.DE,BIOTEST AG VZ O.N.,Pharma & Healthcare
BVB.DE,BORUSSIA DORTMUND,Media
BNN.DE,BRAIN BIOTECH AG,Chemicals
BRK.DE,BRANICKS Group AG,Financial Services
BNR.DE,BRENNTAG SE,Industrial
BKHT.DE,BROCKHAUS TECHNOLOGIES AG,Technology
COK.DE,CANCOM SE O.N.,Software
AFX.DE,CARL ZEISS MEDITEC AG,Pharma & Healthcare
CEC.DE,CECONOMY AG  ST O.N.,Retail
CSH.DE,CENIT AG O.N.,Software
CWC.DE,CEWE STIFTUNG KGAA  O.N.,Consumer
C3RY.DE,CHERRY SE,Technology
CBK.DE,COMMERZBANK AG,Banks
COP.DE,COMPUGROUP MED. NA O.N.,Software
CON.DE,CONTINENTAL AG O.N.,Automobile
1COV.DE,COVESTRO AG  O.N.,Chemicals
EVD.DE,CTS EVENTIM KGAA,Media
DTG.DE,DAIMLER TRUCK HOLDING AG,Industrial
DAM.DE,DATA MODUL AG O.N.,Technology
DHER.DE,DELIVERY HERO SE NA O.N.,Retail
DEX.DE,DELTICOM AG  NA O.N.,Retail
DMRE.DE,DEMIRE DEUTSCHE MITTELSTAND REAL ESTATE AG,Financial Services
DMP.DE,DERMAPHARM HOLDING INH O.N.,Pharma & Healthcare
DBK.DE,DEUTSCHE BANK AG NA O.N.,Banks
DB1.DE,DEUTSCHE BOERSE NA O.N.,Financial Services
DEQ.DE,DEUTSCHE EUROSHOP NA O.N.,Financial Services
DHL.DE,DEUTSCHE POST AG NA O.N.,Transportation & Logistics
DEZ.DE,DEUTZ AG O.N.,Industrial
DFV.DE,DFV DEUTSCHE FAMILIENVERSICHERUNG  O.N.,Insurance
GIL.DE,DMG MORI AG O.N.,Industrial
DOU.DE,DOUGLAS AG,Retail
HNL.DE,DR. HOENLE AG O.N.,Industrial
P911.DE,Dr. Ing. h.c. F. Porsche Aktiengesellschaft,Automobile
DRW8.DE,DRAEGERWERK ST.A.O.N.,Pharma & Healthcare
DRW3.DE,DRAEGERWERK VZO O.N.,Pharma & Healthcare
DBAN.DE,DT.BETEILIG.AG NA O.N.,Financial Services
DKG.DE,DT.KONSUM REIT-AG,Financial Services
PBB.DE,DT.PFANDBRIEFBK AG,Banks
DTE.DE,DT.TELEKOM AG NA,Telecommunication
DUE.DE,DUERR AG O.N.,Industrial
DWS.DE,DWS GROUP GMBH+CO.KGAA ON,Financial Services
EOAN.DE,E.ON SE NA O.N.,Utilities
EUZ.DE,ECKERT+ZIEGLER SE O.N.,Pharma & Healthcare
E4C.DE,ECOTEL COMMUNICATION AG,Telecommunication
ED4.DE,"EDAG ENGINEERING G.SF-,04",Automobile
EIN3.DE,EINHELL GERMANY VZO O.N.,Consumer
ELG.DE,ELMOS SEMICONDUCTOR INH O.N.,Technology
ZIL2.DE,ELRINGKLINGER AG NA O.N.,Automobile
ELB.DE,ELUMEO SE,Retail
ECV.DE,ENCAVIS AG  INH. O.N.,Financial Services
EVK.DE,EVONIK INDUSTRIES AG NA O.N.,Chemicals
EVT.DE,EVOTEC SE  INH O.N.,Pharma & Healthcare
FAA.DE,FABASOFT AG,Software
FIE.DE,FIELMANN AG O.N.,Retail
SIS.DE,FIRST SENSOR AG O.N.,Technology
FTK.DE,FLATEXDEGIRO AG  NA O.N.,Financial Services
FEV.DE,FORTEC ELEKTRO. O.N.,Technology
FPH.DE,FRANCOTYP-POSTALIA HLDG,Industrial
FRA.DE,FRAPORT AG,Transportation & Logistics
FNTN.DE,FREENET AG NA O.N.,Telecommunication
FME.DE,FRESENIUS MEDICAL CARE AG O.N.,Pharma & Healthcare
FRE.DE,FRESENIUS SE+CO.KGAA O.N.,Pharma & Healthcare
VH2.DE,FRIEDRICH VORWERK GROUP SE,Industrial
FPE.DE,FUCHS SE O.N.,Chemicals
FPE3.DE,FUCHS SE VZO O.N.,Chemicals
GTY.DE,GATEWAY R.EST.AG O.N.,Financial Services
G1A.DE,GEA GROUP AG,Industrial
GXI.DE,GERRESHEIMER AG,Pharma & Healthcare
GSC1.DE,GESCO SE NA O.N.,Industrial
GFT.DE,GFT TECHNOLOGIES SE,Software
GFG.DE,"GLOBAL FASHION GRP EO-,01",Retail
