Symbol,Name,Sector
0001.HK,CKH HOLDINGS,Equity
0002.HK,CLP HOLDINGS,Equity
0003.HK,HK & CHINA GAS,Equity
0004.HK,WHARF HOLDINGS,Equity
0005.HK,HSBC HOLDINGS,Equity
0006.HK,POWER ASSETS,Equity
0007.HK,WISDOM WEALTH,Equity
0008.HK,PCCW,Equity
0009.HK,KEYNE LTD,Equity
0010.HK,HANG LUNG GROUP,Equity
0011.HK,HANG SENG BANK,Equity
0012.HK,HENDERSON LAND,Equity
0013.HK,HUTCHMED,Equity
0014.HK,HYSAN DEV,Equity
0016.HK,SHK PPT,Equity
0017.HK,NEW WORLD DEV,Equity
0018.HK,ORIENTAL E H,Equity
0019.HK,SWIRE PACIFIC A,Equity
0020.HK,SENSETIME-W,Equity
0021.HK,GREAT CHI HLDGS,Equity
0022.HK,MEXAN,Equity
0023.HK,BANK OF E ASIA,Equity
0025.HK,CHEVALIER INT'L,Equity
0026.HK,CHINA MOTOR BUS,Equity
0027.HK,GALAXY ENT,Equity
0028.HK,TIAN AN,Equity
0029.HK,DYNAMIC HOLD,Equity
0030.HK,YNBY INTL,Equity
0031.HK,CHINA AEROSPACE,Equity
0032.HK,CROSS-HAR(HOLD),Equity
0033.HK,INTL GENIUS,Equity
0034.HK,KOWLOON DEV,Equity
0035.HK,FE CONSORT INTL,Equity
0036.HK,FE HLDGS INTL,Equity
0037.HK,FE HOTELS,Equity
0038.HK,FIRST TRACTOR,Equity
0039.HK,CH BEIDAHUANG,Equity
0040.HK,GOLD PEAK,Equity
0041.HK,GREAT EAGLE H,Equity
0042.HK,NE ELECTRIC,Equity
0045.HK,HK&S HOTELS,Equity
0046.HK,COMPUTER & TECH,Equity
0048.HK,C AUTO INT DECO,Equity
0050.HK,HK FERRY (HOLD),Equity
0051.HK,HARBOUR CENTRE,Equity
0052.HK,FAIRWOOD HOLD,Equity
0053.HK,GUOCO GROUP,Equity
0055.HK,NEWAY GROUP,Equity
0057.HK,CHEN HSONG HOLD,Equity
0058.HK,SUNWAY INT'L,Equity
0059.HK,SKYFAME REALTY,Equity
0060.HK,HK FOOD INV,Equity
0061.HK,GREEN LEADER,Equity
0062.HK,TRANSPORT INT'L,Equity
0063.HK,CHI ASIA VALLEY,Equity
0064.HK,GET NICE,Equity
0065.HK,GRAND OCEAN AR,Equity
0066.HK,MTR CORPORATION,Equity
0069.HK,SHANGRI-LA ASIA,Equity
0070.HK,RICH GOLDMAN,Equity
0071.HK,MIRAMAR HOTEL,Equity
0072.HK,META MEDIA,Equity
0073.HK,ASIAN CITRUS,Equity
0075.HK,Y.T. REALTY,Equity
0076.HK,ELATE HOLDINGS,Equity
0077.HK,AMS TRANSPORT,Equity
0078.HK,REGAL INT'L,Equity
0079.HK,CENTURY LEGEND,Equity
0080.HK,CNEWECON FUND,Equity
0081.HK,CH OVS G OCEANS,Equity
0082.HK,CRAZY SPORTS,Equity
0083.HK,SINO LAND,Equity
0084.HK,STELUX HOLDINGS,Equity
0085.HK,CE HUADA TECH,Equity
0086.HK,SUN HUNG KAI CO,Equity
0087.HK,SWIRE PACIFIC B,Equity
0088.HK,TAI CHEUNG HOLD,Equity
0089.HK,TAI SANG LAND,Equity
0090.HK,PUXING ENERGY,Equity
0092.HK,CHAMPION TECH,Equity
0093.HK,ZERO FINTECH,Equity
0094.HK,GREENHEART GP,Equity
0095.HK,LVGEM CHINA,Equity
0096.HK,YUSEI,Equity
0097.HK,HENDERSON INV,Equity
0098.HK,XINGFA ALUM,Equity
0099.HK,WONG'S INT'L,Equity
0101.HK,HANG LUNG PPT,Equity
0102.HK,SUMMIT ASCENT,Equity
0103.HK,SHOUGANG CENT,Equity
0104.HK,ASIA COMM HOLD,Equity
0105.HK,ASSO INT HOTELS,Equity
0106.HK,LANDSEA MGMT,Equity
0107.HK,SICHUAN EXPRESS,Equity
0108.HK,GR LIFE STYLE,Equity
0110.HK,CHINA FORTUNE,Equity
0111.HK,CINDA INTL HLDG,Equity
0113.HK,DICKSON CONCEPT,Equity
0114.HK,HERALD HOLD,Equity
0115.HK,GRAND FIELD GP,Equity
0116.HK,CHOW SANG SANG,Equity
0117.HK,TIANLI HOLDINGS,Equity
0118.HK,COSMOS MACH,Equity
0119.HK,POLY PROPERTY,Equity
0120.HK,COSMOPOL INT'L,Equity
0122.HK,CROCODILE,Equity
0123.HK,YUEXIU PROPERTY,Equity
0124.HK,GD LAND,Equity
0125.HK,SUN HING VISION,Equity
0126.HK,CARRIANNA,Equity
0127.HK,CHINESE EST H,Equity
0128.HK,ENM HOLDINGS,Equity
0129.HK,ASIA STANDARD,Equity
0130.HK,MOISELLE INT'L,Equity
0131.HK,CHEUK NANG HOLD,Equity
0132.HK,HING YIP HLDGS,Equity
0133.HK,CHINA MERCHANTS,Equity
0135.HK,KUNLUN ENERGY,Equity
0136.HK,CHINA RUYI,Equity
0137.HK,JINHUI HOLDINGS,Equity
0138.HK,CCT FORTIS,Equity
0139.HK,CENTRALWEALTHGP,Equity
0142.HK,FIRST PACIFIC,Equity
0144.HK,CHINA MER PORT,Equity
0145.HK,CCIAM FUTURE EN,Equity
0146.HK,TAI PING CARPET,Equity
0147.HK,IB SETTLEMENT,Equity
0148.HK,KINGBOARD HLDG,Equity
0149.HK,CH AGRI-PROD EX,Equity
0150.HK,HYPEBEAST,Equity
0151.HK,WANT WANT CHINA,Equity
0152.HK,SHENZHEN INT'L,Equity
0154.HK,BE ENVIRONMENT,Equity
0156.HK,LIPPO CHINA RES,Equity
0157.HK,NATURAL BEAUTY,Equity
0158.HK,MELBOURNE ENT,Equity
0159.HK,BROCKMAN MINING,Equity
0160.HK,HON KWOK LAND,Equity
0162.HK,CENTURY GINWA,Equity
0163.HK,EMPEROR INT'L,Equity
0164.HK,CHINA BAOLI TEC,Equity
0165.HK,CHINA EB LTD,Equity
0166.HK,NEW TIMES CORP,Equity
0167.HK,IDT INT'L,Equity
0168.HK,TSINGTAO BREW,Equity
0169.HK,WANDA HOTEL DEV,Equity
0171.HK,SILVER GRANT,Equity
0173.HK,K. WAH INT'L,Equity
0174.HK,GEMINI INV,Equity
0175.HK,GEELY AUTO,Equity
0176.HK,SUPERACTIVE GP,Equity
0177.HK,JIANGSU EXPRESS,Equity
0178.HK,SA SA INT'L,Equity
0179.HK,JOHNSON ELEC H,Equity
0180.HK,KADER HOLDINGS,Equity
0181.HK,FUJIAN HOLDINGS,Equity
0182.HK,CONCORD NE,Equity
0183.HK,WINFULL GP,Equity
0184.HK,KECK SENG INV,Equity
0185.HK,ZENSUN ENT,Equity
