Symbol,Name,Sector
14D.AX,1414 DEGREES LIMITED,Capital Goods
1AD.AX,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
1AE.AX,AURORA ENERGY METALS LIMITED,Materials
1AI.AX,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
1CG.AX,ONE CLICK GROUP LIMITED,Capital Goods
1MC.AX,MORELLA CORPORATION LIMITED,Materials
1TT.AX,THRIVE TRIBE TECHNOLOGIES LIMITED,Software & Services
29M.AX,29METALS LIMITED,Materials
360.AX,LIFE360 INC.,Software & Services
3DA.AX,AMAERO LTD,Capital Goods
3DP.AX,POINTERRA LIMITED,Software & Services
3PL.AX,3P LEARNING LIMITED..,Consumer Services
4DS.AX,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment
4DX.AX,4DMEDICAL LIMITED,Health Care Equipment & Services
5EA.AX,5E ADVANCED MATERIALS INC.,Materials
5GG.AX,PENTANET LIMITED,Telecommunication Services
5GN.AX,5G NETWORKS LIMITED.,Software & Services
88E.AX,88 ENERGY LIMITED,Energy
8CO.AX,8COMMON LIMITED,Software & Services
8IH.AX,8I HOLDINGS LTD,Financial Services
A11.AX,ATLANTIC LITHIUM LIMITED,Materials
A1G.AX,AFRICAN GOLD LTD.,Materials
A1M.AX,AIC MINES LIMITED,Materials
A1N.AX,ARN MEDIA LIMITED,Media & Entertainment
A2M.AX,THE A2 MILK COMPANY LIMITED,"Food, Beverage & Tobacco"
A3D.AX,AURORA LABS LIMITED,Capital Goods
A4N.AX,ALPHA HPA LIMITED,Materials
A8G.AX,AUSTRALASIAN METALS LIMITED,Materials
AAC.AX,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco"
AAI.AX,ALCOA CORPORATION,Materials
AAJ.AX,ARUMA RESOURCES LIMITED,Materials
AAL.AX,ALFABS AUSTRALIA LIMITED,Capital Goods
AAM.AX,AUMEGA METALS LTD,Materials
AAP.AX,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,"Food, Beverage & Tobacco"
AAR.AX,ASTRAL RESOURCES NL,Materials
AAU.AX,ANTILLES GOLD LIMITED,Materials
ABB.AX,AUSSIE BROADBAND LIMITED,Telecommunication Services
ABE.AX,AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED,Financial Services
ABG.AX,ABACUS GROUP,Equity Real Estate Investment Trusts (REITs)
ABV.AX,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components
ABX.AX,ABX GROUP LIMITED,Materials
ABY.AX,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail
ACE.AX,ACUSENSUS LIMITED.,Software & Services
ACF.AX,ACROW LIMITED,Capital Goods
ACL.AX,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services
ACM.AX,AUSTRALIAN CRITICAL MINERALS LIMITED,Materials
ACP.AX,AUDALIA RESOURCES LIMITED,Materials
ACQ.AX,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic
ACR.AX,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ACS.AX,ACCENT RESOURCES NL,Materials
ACU.AX,ACUMENTIS GROUP LIMITED,Real Estate Management & Development
ACW.AX,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
AD1.AX,ADNEO LIMITED,Media & Entertainment
AD8.AX,AUDINATE GROUP LIMITED,Technology Hardware & Equipment
ADC.AX,ACDC METALS LTD,Materials
ADD.AX,ADAVALE RESOURCES LIMITED,Energy
ADG.AX,ADELONG GOLD LIMITED,Materials
ADH.AX,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail
ADN.AX,ANDROMEDA METALS LIMITED,Materials
ADO.AX,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences"
ADR.AX,ADHERIUM LIMITED,Health Care Equipment & Services
ADS.AX,ADSLOT LTD.,Software & Services
ADT.AX,ADRIATIC METALS PLC,Materials
ADV.AX,ARDIDEN LTD,Materials
ADX.AX,ADX ENERGY LTD,Energy
ADY.AX,ADMIRALTY RESOURCES NL.,Materials
AEE.AX,AURA ENERGY LIMITED,Energy
AEF.AX,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services
AEI.AX,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services
AEL.AX,AMPLITUDE ENERGY LIMITED,Energy
AER.AX,AEERIS LTD,Media & Entertainment
AEV.AX,AVENIRA LIMITED,Materials
AFA.AX,ASF GROUP LIMITED,Financial Services
AFG.AX,AUSTRALIAN FINANCE GROUP LTD,Financial Services
AFI.AX,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic
AFL.AX,AF LEGAL GROUP LTD,Commercial & Professional Services
AFP.AX,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
AGC.AX,AUSTRALIAN GOLD AND COPPER LTD,Materials
AGD.AX,AUSTRAL GOLD LIMITED,Materials
AGE.AX,ALLIGATOR ENERGY LIMITED,Energy
AGH.AX,ALTHEA GROUP HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
AGI.AX,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services
AGL.AX,AGL ENERGY LIMITED.,Utilities
AGN.AX,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
AGR.AX,AGUIA RESOURCES LIMITED,Materials
AGY.AX,ARGOSY MINERALS LIMITED,Materials
AHC.AX,AUSTCO HEALTHCARE LIMITED,Health Care Equipment & Services
AHF.AX,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,"Food, Beverage & Tobacco"
AHI.AX,ADVANCED HEALTH INTELLIGENCE LTD,Software & Services
AHK.AX,ARK MINES LIMITED,Materials
AHL.AX,ADRAD HOLDINGS LIMITED,Automobiles & Components
AHN.AX,ATHENA RESOURCES LIMITED,Materials
AHX.AX,APIAM ANIMAL HEALTH LIMITED,Health Care Equipment & Services
AI1.AX,ADISYN LTD,Software & Services
AIA.AX,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation
AII.AX,ALMONTY INDUSTRIES INC.,Materials
AIM.AX,AI-MEDIA TECHNOLOGIES LIMITED,Commercial & Professional Services
AIQ.AX,ALTERNATIVE INVESTMENT TRUST,Not Applic
AIS.AX,AERIS RESOURCES LIMITED,Materials
AIV.AX,ACTIVEX LIMITED,Materials
AIZ.AX,AIR NEW ZEALAND LIMITED,Transportation
AJL.AX,AJ LUCAS GROUP LIMITED,Capital Goods
AJX.AX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials
AKA.AX,AUREKA LIMITED,Materials
AKG.AX,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services
AKM.AX,ASPIRE MINING LIMITED,Materials
AKN.AX,AUKING MINING LIMITED,Materials
AKO.AX,AKORA RESOURCES LIMITED,Materials
AKP.AX,AUDIO PIXELS HOLDINGS LIMITED,Consumer Durables & Apparel
AL3.AX,AML3D LIMITED,Capital Goods
ALA.AX,AROVELLA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ALB.AX,ALBION RESOURCES LIMITED,Materials
ALC.AX,ALCIDION GROUP LIMITED,Health Care Equipment & Services
ALD.AX,AMPOL LIMITED,Energy
ALI.AX,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,Not Applic
